H World Group PE Ratio Historical Data,H World Group PE Ratio Historical Data,H World Group PE Ratio Historical Data,H World Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.83,,21.17
2024-06-30,32.59,$1.74,18.73
2024-03-31,37.85,$1.72,22.01
2023-09-30,37.52,$1.37,27.39
2023-06-30,36.9,$0.49,75.32
2023-03-31,46.61,$-0.11,0.0
2022-12-31,40.37,$-0.87,0.0
2022-09-30,31.92,$-1.04,0.0
2022-06-30,36.26,$-0.79,0.0
2022-03-31,31.39,$-0.44,0.0
2021-12-31,35.31,$-0.24,0.0
2021-09-30,43.37,$0.32,135.52
2021-06-30,49.94,$0.28,178.35
2021-03-31,51.91,$-0.17,0.0
2020-12-31,42.58,$-1.10,0.0
2020-09-30,40.89,$-1.13,0.0
2020-06-30,33.14,$-0.82,0.0
2020-03-31,27.17,$-0.25,0.0
2019-12-31,37.57,$0.85,44.2
2019-09-30,30.96,$0.33,93.82
2019-06-30,33.99,$0.45,75.53
2019-03-31,39.51,$0.32,123.47
2018-12-31,26.84,$0.34,78.95
2018-09-30,29.95,$0.68,44.04
2018-06-30,38.93,$0.61,64.35
2018-03-31,30.53,$0.64,48.08
2017-12-31,33.48,$0.64,52.31
2017-09-30,27.38,$0.58,47.01
2017-06-30,18.59,$0.49,37.75
2017-03-31,14.3,$0.46,31.08
2016-12-31,11.95,$0.43,28.11
2016-09-30,10.39,$0.41,25.66
2016-06-30,8.39,$0.39,21.66
2016-03-31,8.81,$0.31,28.18
2015-12-31,7.2,$0.27,26.93
2015-09-30,5.49,$0.26,21.54
2015-06-30,5.51,$0.21,25.94
2015-03-31,4.45,$0.20,22.23
2014-12-31,5.93,$0.20,30.03
2014-09-30,5.82,$0.21,28.37
2014-06-30,5.67,$0.19,29.43
2014-03-31,5.55,$0.18,31.69
2013-12-31,6.88,$0.18,37.67
2013-09-30,4.29,$0.16,27.22
2013-06-30,3.61,$0.14,26.27
2013-03-31,3.72,$0.12,30.96
2012-12-31,3.85,$0.12,33.47
2012-09-30,3.77,$0.12,30.75
2012-06-30,2.65,$0.10,27.18
2012-03-31,2.64,$0.08,34.05
2011-12-31,3.21,$0.07,44.21
2011-09-30,3.09,$0.08,41.2
2011-06-30,4.02,$0.06,64.28
2011-03-31,3.94,$0.05,82.88
2010-12-31,4.92,$0.11,44.69
