Genworth Financial PE Ratio Historical Data,Genworth Financial PE Ratio Historical Data,Genworth Financial PE Ratio Historical Data,Genworth Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.22,,103.14
2024-06-30,6.04,$0.07,86.29
2024-03-31,6.43,$0.19,33.84
2023-12-31,6.68,0,0.0
2023-09-30,5.86,$0.82,7.15
2023-06-30,5.0,$0.96,5.21
2023-03-31,5.02,$1.02,4.92
2022-12-31,5.29,$1.19,4.45
2022-09-30,3.5,$1.16,3.02
2022-06-30,3.53,$1.57,2.25
2022-03-31,3.78,$1.69,2.24
2021-12-31,4.05,$1.77,2.29
2021-09-30,3.75,$1.97,1.9
2021-06-30,3.9,$2.18,1.79
2021-03-31,3.32,$0.85,3.91
2020-12-31,3.78,$0.35,10.8
2020-09-30,3.35,$-0.20,0.0
2020-06-30,2.31,$-0.98,0.0
2020-03-31,3.32,$0.21,15.81
2019-12-31,4.4,$0.68,6.47
2019-09-30,4.4,$0.05,88.0
2019-06-30,3.71,$0.30,12.37
2019-03-31,3.83,$0.35,10.94
2018-12-31,4.66,$0.23,20.26
2018-09-30,4.17,$1.59,2.62
2018-06-30,4.5,$1.51,2.98
2018-03-31,2.83,$1.53,1.85
2017-12-31,3.11,$1.62,1.92
2017-09-30,3.85,$0.67,5.75
2017-06-30,3.77,$-0.30,0.0
2017-03-31,4.12,$-0.36,0.0
2016-12-31,3.81,$-0.56,0.0
2016-09-30,4.96,$-0.90,0.0
2016-06-30,2.58,$-0.71,0.0
2016-03-31,2.73,$-1.44,0.0
2015-12-31,3.73,$-1.24,0.0
2015-09-30,4.62,$-2.18,0.0
2015-06-30,7.57,$-3.31,0.0
2015-03-31,7.31,$-2.57,0.0
2014-12-31,8.5,$-2.51,0.0
2014-09-30,13.1,$-0.57,0.0
2014-06-30,17.4,$1.35,12.89
2014-03-31,17.73,$1.28,13.85
2013-12-31,15.53,$1.12,13.87
2013-09-30,12.8,$1.05,12.19
2013-06-30,11.41,$0.90,12.68
2013-03-31,10.0,$0.78,12.82
2012-12-31,7.51,$0.66,11.38
2012-09-30,5.23,$0.54,9.69
2012-06-30,5.66,$0.53,10.68
2012-03-31,8.32,$0.17,48.94
2011-12-31,6.55,$0.25,26.2
2011-09-30,5.74,$-0.30,0.0
2011-06-30,10.28,$-0.19,0.0
2011-03-31,13.46,$0.09,149.56
2010-12-31,13.14,$0.28,46.93
2010-09-30,12.22,$0.69,17.71
2010-06-30,13.07,$0.56,23.34
2010-03-31,18.34,$0.37,49.57
2009-12-31,11.35,$-1.07,0.0
