Photronics PE Ratio Historical Data,Photronics PE Ratio Historical Data,Photronics PE Ratio Historical Data,Photronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.8,,10.48
2024-07-31,25.41,$2.27,11.19
2024-04-30,27.41,$2.16,12.69
2024-01-31,29.22,$2.23,13.1
2023-10-31,18.36,$2.04,9.0
2023-07-31,26.45,$1.92,13.78
2023-04-30,14.46,$1.99,7.27
2023-01-31,18.12,$1.83,9.9
2022-10-31,16.22,$1.98,8.19
2022-07-31,23.81,$1.71,13.92
2022-04-30,14.99,$1.48,10.13
2022-01-31,17.88,$1.16,15.41
2021-10-31,12.99,$0.91,14.27
2021-07-31,13.37,$0.68,19.66
2021-04-30,12.7,$0.57,22.28
2021-01-31,11.1,$0.50,22.2
2020-10-31,9.75,$0.53,18.4
2020-07-31,11.88,$0.58,20.48
2020-04-30,11.95,$0.51,23.43
2020-01-31,12.78,$0.54,23.67
2019-10-31,11.8,$0.46,25.65
2019-07-31,9.63,$0.49,19.65
2019-04-30,9.34,$0.57,16.39
2019-01-31,10.69,$0.59,18.12
2018-10-31,9.74,$0.60,16.23
2018-07-31,9.0,$0.50,18.0
2018-04-30,7.65,$0.38,20.13
2018-01-31,8.4,$0.26,32.31
2017-10-31,9.7,$0.20,48.5
2017-07-31,10.05,$0.20,50.25
2017-04-30,11.5,$0.26,44.23
2017-01-31,11.5,$0.39,29.49
2016-10-31,9.7,$0.64,15.16
2016-07-31,9.66,$0.81,11.93
2016-04-30,10.58,$0.86,12.3
2016-01-31,11.94,$0.84,14.21
2015-10-31,9.59,$0.62,15.47
2015-07-31,8.25,$0.44,18.75
2015-04-30,8.77,$0.34,25.79
2015-01-31,8.4,$0.42,20.0
2014-10-31,8.99,$0.39,23.05
2014-07-31,7.97,$0.40,19.93
2014-04-30,8.68,$0.43,20.19
2014-01-31,8.3,$0.29,28.62
2013-10-31,8.4,$0.30,28.0
2013-07-31,7.65,$0.28,27.32
2013-04-30,7.89,$0.34,23.21
2013-01-31,5.99,$0.40,14.98
2012-10-31,4.89,$0.43,11.37
2012-07-31,5.85,$0.51,11.47
2012-04-30,6.19,$0.51,12.14
2012-01-31,6.86,$0.07,98.0
2011-10-31,6.27,$0.20,31.35
2011-07-31,7.48,$0.20,37.4
2011-04-30,8.73,$0.17,51.35
2011-01-31,6.59,$0.61,10.8
2010-10-31,6.29,$0.41,15.34
2010-07-31,4.52,$0.30,15.07
2010-04-30,5.45,$-0.38,0.0
2010-01-31,3.85,$-0.76,0.0
2009-10-31,4.18,$-1.01,0.0
