Resideo Technologies PE Ratio Historical Data,Resideo Technologies PE Ratio Historical Data,Resideo Technologies PE Ratio Historical Data,Resideo Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.72,,18.41
2024-06-30,19.56,$1.18,16.58
2024-03-31,22.42,$1.33,16.86
2023-12-31,18.82,$1.42,13.25
2023-09-30,15.8,$1.12,14.11
2023-06-30,17.66,$1.40,12.61
2023-03-31,18.28,$1.69,10.82
2022-12-31,16.45,$1.89,8.7
2022-09-30,19.06,$2.08,9.16
2022-06-30,19.42,$2.12,9.16
2022-03-31,23.83,$1.88,12.68
2021-12-31,26.03,$1.63,15.97
2021-09-30,24.79,$1.62,15.3
2021-06-30,30.0,$1.76,17.05
2021-03-31,28.25,$0.75,37.67
2020-12-31,21.26,$0.25,85.04
2020-09-30,11.0,$-0.26,0.0
2020-06-30,11.72,$-0.80,0.0
2020-03-31,4.84,$-0.27,0.0
2019-12-31,11.93,$0.03,397.67
2019-09-30,14.35,$0.49,29.29
