Calumet PE Ratio Historical Data,Calumet PE Ratio Historical Data,Calumet PE Ratio Historical Data,Calumet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.87,,0.0
2024-06-30,16.05,$-0.32,0.0
2024-03-31,14.86,$-0.07,0.0
2023-12-31,17.87,$0.79,22.62
2023-09-30,19.1,$0.52,36.73
2023-06-30,15.86,$-0.55,0.0
2023-03-31,17.38,$-1.50,0.0
2022-12-31,16.88,$-2.93,0.0
2022-09-30,12.81,$-1.43,0.0
2022-03-31,13.61,$-2.59,0.0
2021-12-31,13.2,$-3.23,0.0
2021-09-30,7.91,$-3.18,0.0
2021-06-30,6.87,$-4.52,0.0
2021-03-31,6.1,$-3.50,0.0
2020-12-31,3.13,$-1.86,0.0
2020-09-30,2.55,$-1.31,0.0
2020-06-30,2.28,$-0.67,0.0
2020-03-31,1.05,$-0.93,0.0
2019-12-31,3.65,$-0.55,0.0
2019-09-30,3.64,$0.16,22.75
2019-06-30,4.19,$0.01,419.0
2019-03-31,3.56,$-0.43,0.0
2018-12-31,2.21,$-0.69,0.0
2018-09-30,6.4,$-1.74,0.0
2018-06-30,7.45,$-1.83,0.0
2018-03-31,7.05,$-1.06,0.0
2017-12-31,7.7,$-1.08,0.0
2017-09-30,8.35,$-1.27,0.0
2017-06-30,4.25,$-1.39,0.0
2017-03-31,3.8,$-3.40,0.0
2016-12-31,4.0,$-4.19,0.0
2016-09-30,4.51,$-4.74,0.0
2016-06-30,4.9,$-5.01,0.0
2016-03-31,11.75,$-3.14,0.0
2015-12-31,19.13,$-2.00,0.0
2015-09-30,22.75,$-1.39,0.0
2015-06-30,23.27,$-0.62,0.0
2015-03-31,21.44,$-0.77,0.0
2014-12-31,19.45,$-1.80,0.0
2014-09-30,23.23,$-1.12,0.0
2014-06-30,26.33,$-1.74,0.0
2014-03-31,20.89,$-1.52,0.0
2013-12-31,20.55,$-0.10,0.0
2013-09-30,21.07,$0.90,23.41
2013-06-30,27.51,$2.13,12.92
2013-03-31,27.65,$3.22,8.59
2012-12-31,22.11,$3.53,6.26
2012-09-30,22.83,$3.30,6.92
2012-06-30,16.57,$3.07,5.4
2012-03-31,18.04,$1.74,10.37
2011-12-31,13.44,$0.88,15.27
2011-09-30,10.99,$0.64,17.18
2011-06-30,13.65,$0.77,17.73
2011-03-31,13.21,$0.93,14.2
2010-12-31,12.98,$0.46,28.23
2010-09-30,11.77,$0.44,26.75
2010-06-30,10.3,$-0.03,0.0
2010-03-31,11.88,$-0.79,0.0
2009-12-31,10.23,$1.87,5.47
2009-09-30,8.6,$1.44,5.97
