Insight Enterprises PE Ratio Historical Data,Insight Enterprises PE Ratio Historical Data,Insight Enterprises PE Ratio Historical Data,Insight Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,222.29,,27.61
2024-06-30,198.36,$8.05,24.64
2024-03-31,185.52,$7.95,23.34
2023-12-31,177.19,$7.55,23.47
2023-09-30,145.5,$7.26,20.04
2023-06-30,146.34,$7.22,20.27
2023-03-31,142.96,$7.47,19.14
2022-12-31,100.27,$7.66,13.09
2022-09-30,82.41,$7.22,11.41
2022-06-30,86.28,$7.15,12.07
2022-03-31,107.32,$6.31,17.01
2021-12-31,106.6,$5.96,17.89
2021-09-30,90.08,$5.77,15.61
2021-06-30,100.01,$5.36,18.66
2021-03-31,95.42,$5.10,18.71
2020-12-31,76.09,$4.87,15.62
2020-09-30,56.58,$4.57,12.38
2020-06-30,49.2,$4.23,11.63
2020-03-31,42.13,$4.29,9.82
2019-12-31,70.29,$4.43,15.87
2019-09-30,55.69,$4.54,12.27
2019-06-30,58.2,$4.67,12.46
2019-03-31,55.06,$4.73,11.64
2018-12-31,40.75,$4.54,8.98
2018-09-30,54.09,$3.62,14.94
2018-06-30,48.93,$3.35,14.61
2018-03-31,34.93,$3.02,11.57
2017-12-31,38.29,$2.50,15.32
2017-09-30,45.92,$2.70,17.01
2017-06-30,39.99,$2.68,14.92
2017-03-31,41.09,$2.53,16.24
2016-12-31,40.44,$2.33,17.36
2016-09-30,32.55,$2.24,14.53
2016-06-30,26.0,$2.20,11.82
2016-03-31,28.64,$1.91,14.99
2015-12-31,25.12,$2.00,12.56
2015-09-30,25.85,$1.98,13.06
2015-06-30,29.91,$1.84,16.26
2015-03-31,28.52,$1.83,15.58
2014-12-31,25.89,$1.84,14.07
2014-09-30,22.63,$1.84,12.3
2014-06-30,30.74,$1.77,17.37
2014-03-31,25.11,$1.73,14.51
2013-12-31,22.71,$1.65,13.76
2013-09-30,18.91,$1.63,11.6
2013-06-30,17.74,$1.71,10.37
2013-03-31,20.62,$1.88,10.97
2012-12-31,17.37,$2.07,8.39
2012-09-30,17.47,$2.39,7.31
2012-06-30,16.83,$2.34,7.19
2012-03-31,21.93,$2.30,9.53
2011-12-31,15.29,$2.19,6.98
2011-09-30,15.14,$1.94,7.8
2011-06-30,17.71,$1.87,9.47
2011-03-31,17.03,$1.70,10.02
2010-12-31,13.16,$1.62,8.12
2010-09-30,15.69,$1.46,10.74
2010-06-30,13.16,$1.31,10.05
2010-03-31,14.36,$1.07,13.42
2009-12-31,11.42,$0.72,15.86
