Equinox Gold PE Ratio Historical Data,Equinox Gold PE Ratio Historical Data,Equinox Gold PE Ratio Historical Data,Equinox Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.44,,10.88
2024-06-30,5.23,$0.50,10.46
2024-03-31,6.02,$-0.09,0.0
2023-12-31,4.89,$0.09,54.33
2023-09-30,4.23,$0.15,28.2
2023-06-30,4.58,$0.04,114.5
2023-03-31,5.15,$-0.24,0.0
2022-12-31,3.28,$-0.36,0.0
2022-09-30,3.65,$-0.11,0.0
2022-06-30,4.44,$-0.03,0.0
2022-03-31,8.27,$1.19,6.95
2021-12-31,6.76,$1.40,4.83
2021-09-30,6.6,$1.39,4.75
2021-06-30,6.95,$1.46,4.76
2021-03-31,7.99,$0.24,33.29
2020-12-31,10.34,$0.18,57.44
2020-09-30,11.71,$-0.13,0.0
2020-06-30,11.22,$-0.11,0.0
