Nexstar Media PE Ratio Historical Data,Nexstar Media PE Ratio Historical Data,Nexstar Media PE Ratio Historical Data,Nexstar Media PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,172.33,,13.55
2024-06-30,166.01,$12.72,13.05
2024-03-31,172.29,$11.82,14.58
2023-12-31,156.75,$9.63,16.28
2023-09-30,143.37,$11.61,12.35
2023-06-30,166.55,$18.21,9.15
2023-03-31,172.66,$21.13,8.17
2022-12-31,175.03,$24.15,7.25
2022-09-30,166.85,$25.04,6.66
2022-06-30,162.14,$21.64,7.49
2022-03-31,186.62,$20.59,9.06
2021-12-31,148.75,$19.02,7.82
2021-09-30,149.1,$20.80,7.17
2021-06-30,144.41,$20.98,6.88
2021-03-31,136.49,$18.60,7.34
2020-12-31,105.54,$17.48,6.04
2020-09-30,86.36,$11.87,7.28
2020-06-30,79.87,$7.66,10.43
2020-03-31,54.67,$6.95,7.87
2019-12-31,110.54,$4.80,23.03
2019-09-30,96.03,$5.66,16.97
2019-06-30,94.37,$7.91,11.93
2019-03-31,100.85,$8.35,12.08
2018-12-31,72.79,$15.17,4.8
2018-09-30,74.99,$12.93,5.8
2018-06-30,67.29,$11.72,5.74
2017-12-31,70.92,$9.99,7.1
2017-09-30,56.24,$2.66,21.14
2017-06-30,53.73,$2.69,19.97
2017-03-31,62.72,$2.56,24.5
2016-12-31,56.34,$3.21,17.55
2018-03-31,60.61,$3.26,18.59
2016-09-30,51.11,$3.11,16.43
2016-06-30,41.94,$2.87,14.61
2016-03-31,38.84,$2.72,14.28
2015-12-31,51.16,$2.43,21.05
2015-09-30,41.13,$2.53,16.26
2015-06-30,48.47,$2.47,19.62
2015-03-31,49.35,$2.18,22.64
2014-12-31,44.51,$2.01,22.14
2014-09-30,34.61,$0.64,54.08
2014-06-30,44.05,$0.27,163.14
2014-03-31,31.9,$0.13,245.41
2013-12-31,47.21,$-0.08,0.0
2013-09-30,37.61,$5.49,6.85
2013-06-30,29.85,$5.69,5.25
2013-03-31,15.09,$5.78,2.61
2012-12-31,8.81,$5.86,1.5
2012-09-30,8.83,$0.81,10.9
2012-06-30,5.6,$0.28,20.02
2012-03-31,6.91,$-0.10,0.0
2011-12-31,6.52,$-0.42,0.0
2011-09-30,5.5,$-0.04,0.0
2011-06-30,6.83,$0.07,97.53
2011-03-31,7.21,$-0.17,0.0
2010-12-31,4.98,$-0.08,0.0
2010-09-30,4.28,$-0.54,0.0
2010-06-30,3.64,$-1.08,0.0
2010-03-31,4.1,$-0.79,0.0
2009-12-31,3.37,$-0.45,0.0
