Crown Holdings PE Ratio Historical Data,Crown Holdings PE Ratio Historical Data,Crown Holdings PE Ratio Historical Data,Crown Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,93.84,,25.99
2024-06-30,74.18,$3.61,20.55
2024-03-31,78.79,$3.47,22.7
2023-12-31,91.25,$3.76,24.27
2023-09-30,87.41,$4.23,20.66
2023-06-30,85.59,$3.96,21.61
2023-03-31,81.25,$5.08,15.99
2022-12-31,80.54,$5.97,13.49
2022-09-30,79.14,$-2.72,0.0
2022-06-30,89.82,$-2.99,0.0
2022-03-31,121.63,$-4.47,0.0
2021-12-31,107.36,$-5.09,0.0
2021-09-30,97.63,$4.45,21.94
2021-06-30,98.81,$4.60,21.48
2020-12-31,96.5,$4.30,22.44
2020-09-30,74.02,$3.82,19.38
2020-06-30,62.72,$3.80,16.51
2020-03-31,55.89,$4.22,13.25
2019-12-31,69.86,$4.59,15.22
2021-03-31,93.64,$4.72,19.84
2019-09-30,63.62,$3.55,17.92
2019-06-30,58.84,$3.42,17.21
2019-03-31,52.55,$3.39,15.5
2018-12-31,40.03,$3.29,12.17
2018-09-30,46.23,$2.22,20.82
2018-06-30,43.11,$2.31,18.66
2018-03-31,48.87,$2.26,21.63
2017-12-31,54.17,$2.36,22.95
2017-09-30,57.51,$3.50,16.43
2017-06-30,57.45,$3.49,16.46
2017-03-31,50.99,$3.76,13.56
2016-12-31,50.63,$3.56,14.22
2016-09-30,54.98,$3.56,15.44
2016-06-30,48.8,$3.26,14.97
2016-03-31,47.76,$3.07,15.56
2015-12-31,48.83,$2.82,17.31
2015-09-30,44.06,$2.44,18.06
2015-06-30,50.95,$3.19,15.97
2015-03-31,52.02,$2.93,17.76
2014-12-31,49.02,$2.78,17.63
2014-09-30,42.87,$3.05,14.06
2014-06-30,47.92,$2.10,22.82
2014-03-31,43.09,$2.27,18.98
2013-12-31,42.92,$2.38,18.03
2013-09-30,40.72,$2.22,18.34
2013-06-30,39.61,$3.61,10.97
2013-03-31,40.07,$3.57,11.22
2012-12-31,35.45,$3.75,9.45
2012-09-30,35.39,$3.60,9.83
2012-06-30,33.22,$2.24,14.83
2012-03-31,35.47,$2.18,16.27
2011-12-31,32.34,$2.00,16.17
2011-09-30,29.48,$2.79,10.57
2011-06-30,37.39,$2.64,14.16
2010-12-31,32.15,$2.06,15.6
2010-09-30,27.6,$2.28,12.11
2010-06-30,24.11,$1.54,15.66
2010-03-31,25.96,$1.52,17.08
2009-12-31,24.63,$1.92,12.83
2011-03-31,37.15,$1.67,22.25
