American Financial PE Ratio Historical Data,American Financial PE Ratio Historical Data,American Financial PE Ratio Historical Data,American Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,137.93,,13.01
2024-06-30,121.61,$10.60,11.47
2024-03-31,134.17,$10.45,12.84
2023-12-31,113.88,$10.80,10.54
2023-09-30,104.83,$9.60,10.92
2023-06-30,110.88,$9.47,11.71
2022-12-31,123.2,$10.53,11.7
2022-09-30,108.24,$11.47,9.44
2022-06-30,121.71,$12.10,10.06
2022-03-31,119.91,$21.84,5.49
2021-12-31,110.99,$23.28,4.77
2021-09-30,97.02,$27.03,3.59
2021-06-30,91.48,$26.33,3.47
2021-03-31,74.62,$16.60,4.5
2020-12-31,56.98,$8.42,6.77
2020-09-30,42.26,$2.80,15.09
2020-06-30,39.74,$2.56,15.52
2020-03-31,43.63,$2.90,15.04
2019-12-31,67.98,$9.87,6.89
2019-09-30,65.49,$7.23,9.06
2019-06-30,61.99,$7.87,7.88
2019-03-31,57.1,$7.16,7.98
2018-12-31,53.5,$5.37,9.96
2018-09-30,64.39,$5.83,11.04
2018-03-31,63.83,$5.18,12.32
2017-12-31,61.54,$5.30,11.61
2017-09-30,57.34,$7.79,7.36
2017-06-30,54.9,$9.97,5.51
2017-03-31,51.75,$9.59,5.4
2016-12-31,47.62,$8.49,5.61
2018-06-30,62.07,$5.30,11.71
2016-09-30,39.87,$4.44,8.98
2016-06-30,39.15,$3.92,9.99
2016-03-31,37.11,$4.87,7.62
2015-12-31,37.86,$3.94,9.61
2015-09-30,35.55,$3.90,9.12
2015-06-30,33.43,$4.47,7.48
2015-03-31,32.85,$4.05,8.11
2014-12-31,30.96,$4.97,6.23
2014-09-30,28.91,$5.29,5.46
2014-06-30,29.63,$4.93,6.01
2014-03-31,28.6,$4.98,5.74
2013-12-31,28.49,$5.17,5.51
2013-09-30,26.11,$3.98,6.56
2013-06-30,23.53,$5.45,4.32
2013-03-31,22.7,$5.26,4.32
2012-12-31,18.85,$5.08,3.71
2012-09-30,17.87,$5.64,3.17
2012-06-30,18.41,$4.19,4.39
2012-03-31,18.02,$3.70,4.87
2011-12-31,17.15,$3.79,4.53
2011-09-30,14.37,$3.90,3.68
2011-06-30,16.43,$3.93,4.18
2010-12-31,14.72,$4.34,3.39
2010-09-30,13.87,$4.49,3.09
2010-06-30,12.33,$4.37,2.82
2010-03-31,12.78,$4.49,2.85
2009-12-31,11.15,$4.44,2.51
2009-09-30,11.34,$5.55,2.04
2009-06-30,9.54,$5.25,1.82
