Westinghouse Air Brake Technologies PE Ratio Historical Data,Westinghouse Air Brake Technologies PE Ratio Historical Data,Westinghouse Air Brake Technologies PE Ratio Historical Data,Westinghouse Air Brake Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,169.57,,29.75
2024-06-30,157.85,$5.70,27.69
2024-03-31,145.32,$5.12,28.38
2023-12-31,126.41,$4.52,27.97
2023-09-30,105.7,$4.18,25.29
2023-06-30,108.92,$3.73,29.2
2023-03-31,100.19,$3.58,27.99
2022-12-31,98.79,$3.45,28.63
2022-09-30,80.4,$3.61,22.27
2022-06-30,80.99,$3.42,23.68
2022-03-31,94.73,$3.17,29.88
2021-12-31,90.59,$2.96,30.6
2021-09-30,84.68,$2.40,35.28
2021-06-30,80.73,$2.38,33.92
2021-03-31,77.54,$2.18,35.57
2020-12-31,71.59,$2.17,32.99
2020-09-30,60.41,$2.42,24.96
2020-06-30,56.11,$2.23,25.16
2020-03-31,46.81,$2.31,20.26
2019-12-31,75.55,$1.69,44.7
2019-09-30,69.67,$1.34,52.0
2019-06-30,69.46,$1.77,39.24
2019-03-31,71.24,$2.10,33.92
2018-12-31,67.77,$3.06,22.15
2018-09-30,101.04,$3.21,31.48
2018-06-30,94.87,$3.00,31.62
2018-03-31,78.24,$2.88,27.17
2017-12-31,78.13,$2.73,28.62
2017-09-30,72.57,$2.64,27.49
2017-06-30,87.51,$2.85,30.71
2017-03-31,74.51,$3.10,24.04
2016-12-31,79.21,$3.35,23.65
2016-09-30,77.81,$3.98,19.55
2016-06-30,66.83,$4.09,16.34
2016-03-31,75.38,$4.13,18.25
2015-12-31,67.53,$4.10,16.47
2015-09-30,83.52,$4.00,20.88
2015-06-30,89.32,$3.91,22.84
2015-03-31,89.99,$3.78,23.81
2014-12-31,82.25,$3.62,22.72
2014-09-30,76.66,$3.43,22.35
2014-06-30,78.07,$3.26,23.95
2014-03-31,73.22,$3.12,23.47
2013-12-31,70.13,$3.01,23.3
2013-09-30,59.33,$2.92,20.32
2013-06-30,50.39,$2.81,17.93
2013-03-31,48.12,$2.71,17.79
2012-12-31,41.24,$2.60,15.89
2012-09-30,37.8,$2.41,15.72
2012-06-30,36.7,$2.24,16.42
2012-03-31,35.44,$1.95,18.22
2011-12-31,32.88,$1.76,18.68
2011-09-30,24.84,$1.60,15.53
2011-06-30,30.86,$1.44,21.51
2011-03-31,31.85,$1.39,23.0
2010-12-31,24.83,$1.28,19.47
2010-09-30,22.43,$1.21,18.61
2010-06-30,18.72,$1.18,15.93
2010-03-31,19.76,$1.17,16.89
2009-12-31,19.16,$1.20,16.03
