LGI Homes PE Ratio Historical Data,LGI Homes PE Ratio Historical Data,LGI Homes PE Ratio Historical Data,LGI Homes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,113.36,,13.77
2024-06-30,89.49,$8.23,10.87
2024-03-31,116.37,$8.00,14.55
2023-12-31,133.16,$8.42,15.81
2023-09-30,99.49,$7.68,12.95
2023-06-30,134.89,$8.69,15.52
2023-03-31,114.03,$11.64,9.8
2022-12-31,92.6,$13.75,6.73
2022-09-30,81.37,$16.83,4.83
2022-06-30,86.9,$17.03,5.1
2022-03-31,97.68,$16.54,5.91
2021-12-31,154.48,$17.24,8.96
2021-09-30,141.91,$18.05,7.86
2021-06-30,161.94,$17.52,9.24
2021-03-31,149.31,$15.02,9.94
2020-12-31,105.85,$12.74,8.31
2020-09-30,116.17,$9.92,11.71
2020-06-30,88.03,$8.33,10.57
2020-03-31,45.15,$7.94,5.69
2019-12-31,70.65,$7.00,10.09
2019-09-30,83.32,$6.20,13.44
2019-06-30,71.43,$5.79,12.34
2019-03-31,60.24,$5.87,10.26
2018-12-31,45.22,$6.24,7.25
2018-09-30,47.44,$5.95,7.97
2018-06-30,57.73,$5.83,9.9
2018-03-31,70.57,$5.32,13.27
2017-12-31,75.03,$4.74,15.83
2017-09-30,48.57,$4.32,11.24
2017-06-30,40.18,$3.78,10.63
2017-03-31,33.91,$3.35,10.12
2016-12-31,28.73,$3.40,8.45
2016-09-30,36.84,$3.14,11.73
2016-06-30,31.94,$3.04,10.51
2016-03-31,24.21,$2.74,8.84
2015-12-31,24.33,$2.50,9.73
2015-09-30,27.19,$2.09,13.01
2015-06-30,19.78,$1.67,11.84
2015-03-31,16.66,$1.44,11.57
2014-12-31,14.92,$1.33,11.22
2014-09-30,18.36,$0.99,18.55
