Redfin PE Ratio Historical Data,Redfin PE Ratio Historical Data,Redfin PE Ratio Historical Data,Redfin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.54,,0.0
2024-06-30,6.01,$-1.17,0.0
2024-03-31,6.65,$-1.19,0.0
2023-12-31,10.32,$-1.17,0.0
2023-09-30,7.04,$-1.54,0.0
2023-06-30,12.42,$-2.20,0.0
2023-03-31,9.06,$-2.68,0.0
2022-12-31,4.24,$-2.99,0.0
2022-09-30,5.84,$-2.69,0.0
2022-06-30,8.24,$-2.06,0.0
2022-03-31,18.04,$-1.62,0.0
2021-12-31,38.39,$-1.13,0.0
2021-09-30,50.1,$-0.75,0.0
2021-06-30,63.41,$-0.25,0.0
2021-03-31,66.59,$-0.04,0.0
2020-12-31,68.63,$-0.31,0.0
2020-09-30,49.93,$-0.50,0.0
2020-06-30,41.91,$-0.73,0.0
2020-03-31,15.42,$-0.79,0.0
2019-12-31,21.14,$-0.89,0.0
2019-09-30,16.84,$-0.95,0.0
2019-06-30,17.98,$-0.98,0.0
2019-03-31,20.27,$-0.80,0.0
2018-12-31,14.4,$-0.50,0.0
2018-09-30,18.7,$-0.38,0.0
2018-06-30,23.09,$-0.92,0.0
