Costamare PE Ratio Historical Data,Costamare PE Ratio Historical Data,Costamare PE Ratio Historical Data,Costamare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.31,,5.06
2024-06-30,16.3,$2.83,5.76
2024-03-31,11.14,$2.58,4.32
2023-12-31,10.11,$2.95,3.43
2023-09-30,9.23,$3.66,2.52
2023-06-30,9.17,$4.10,2.24
2023-03-31,8.82,$4.50,1.96
2022-12-31,8.6,$4.27,2.01
2022-09-30,8.19,$3.98,2.06
2022-06-30,10.97,$3.96,2.77
2022-03-31,14.88,$3.71,4.01
2021-12-31,10.94,$3.27,3.35
2021-09-30,13.29,$2.19,6.07
2021-06-30,10.02,$1.46,6.86
2021-03-31,8.08,$0.09,89.78
2020-12-31,6.88,$-0.19,0.0
2020-09-30,4.97,$-0.11,0.0
2020-06-30,4.46,$-0.01,0.0
2020-03-31,3.55,$0.87,4.08
2019-12-31,7.42,$0.58,12.79
2019-09-30,4.66,$0.45,10.35
2019-06-30,3.86,$0.27,14.31
2019-03-31,3.85,$0.15,25.66
2018-12-31,3.19,$0.34,9.37
2018-09-30,4.63,$0.21,22.05
2018-06-30,5.62,$0.33,17.03
2018-03-31,4.33,$0.45,9.62
2017-12-31,3.94,$0.54,7.3
2017-09-30,4.15,$0.36,11.54
2017-06-30,4.84,$0.38,12.74
2017-03-31,4.35,$0.60,7.24
2016-12-31,3.6,$0.84,4.28
2016-09-30,5.79,$1.43,4.05
2016-03-31,5.32,$1.76,3.02
2015-12-31,5.97,$1.67,3.57
2015-09-30,6.89,$1.60,4.31
2015-06-30,10.15,$1.63,6.23
2015-03-31,9.59,$1.55,6.19
2014-12-31,9.43,$1.56,6.04
2016-06-30,4.72,$1.42,3.32
2014-09-30,11.59,$1.35,8.58
2014-06-30,12.16,$1.17,10.4
2014-03-31,11.07,$1.26,8.79
2013-12-31,9.27,$1.36,6.82
2013-09-30,8.81,$1.32,6.68
2013-06-30,8.48,$1.23,6.9
2013-03-31,7.69,$1.13,6.81
2012-12-31,6.62,$1.20,5.52
2012-09-30,7.18,$1.32,5.44
2012-06-30,6.36,$1.43,4.44
2012-03-31,6.18,$1.55,3.99
2011-12-31,6.24,$1.45,4.31
2011-09-30,5.33,$1.23,4.33
