LPL Financial Holdings PE Ratio Historical Data,LPL Financial Holdings PE Ratio Historical Data,LPL Financial Holdings PE Ratio Historical Data,LPL Financial Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,262.22,,20.45
2024-06-30,278.87,$12.82,21.75
2024-03-31,263.5,$13.83,19.05
2023-12-31,226.76,$13.95,16.26
2023-09-30,236.44,$13.96,16.94
2023-03-31,200.79,$13.02,15.42
2022-12-31,214.13,$10.42,20.55
2022-09-30,216.21,$7.79,27.76
2022-06-30,182.37,$8.58,21.25
2022-03-31,180.37,$7.87,22.92
2021-12-31,157.82,$7.69,20.52
2023-06-30,216.03,$7.96,27.14
2021-09-30,154.3,$5.69,27.12
2021-06-30,132.64,$5.72,23.19
2021-03-31,139.46,$5.53,25.22
2020-12-31,102.06,$5.86,17.42
2020-09-30,74.87,$6.01,12.46
2020-06-30,76.33,$6.29,12.14
2020-03-31,52.82,$6.73,7.85
2019-12-31,89.07,$6.60,13.5
2019-09-30,78.85,$6.43,12.26
2019-06-30,78.53,$6.05,12.98
2019-03-31,66.85,$5.64,11.85
2018-12-31,58.43,$4.86,12.02
2018-09-30,61.47,$4.19,14.67
2018-06-30,62.22,$3.63,17.14
2018-03-31,57.77,$3.07,18.82
2017-12-31,53.84,$2.58,20.87
2017-09-30,48.35,$2.35,20.58
2017-06-30,39.59,$2.30,17.22
2017-03-31,36.92,$2.09,17.67
2016-12-31,32.43,$1.85,17.53
2016-09-30,27.37,$1.82,15.04
2016-06-30,20.43,$1.76,11.61
2015-12-31,37.82,$1.75,21.61
2015-09-30,35.07,$1.96,17.89
2015-06-30,40.75,$2.09,19.5
2015-03-31,38.21,$1.90,20.11
2014-12-31,38.6,$1.80,21.44
2016-03-31,22.26,$1.82,12.23
2014-09-30,39.67,$1.69,23.47
2014-06-30,42.63,$1.72,24.79
2014-03-31,44.8,$1.72,26.05
2013-12-31,39.94,$1.72,23.22
2013-09-30,32.37,$1.63,19.86
2013-06-30,31.75,$1.58,20.1
2013-03-31,27.0,$1.51,17.88
2012-12-31,23.49,$1.37,17.15
2012-09-30,23.7,$1.38,17.17
2012-06-30,27.93,$1.40,19.95
2012-03-31,29.55,$1.45,20.38
2011-12-31,23.78,$1.51,15.75
2011-09-30,19.8,$-0.04,0.0
