Envestnet PE Ratio Historical Data,Envestnet PE Ratio Historical Data,Envestnet PE Ratio Historical Data,Envestnet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.72,,0.0
2024-06-30,62.59,$-4.61,0.0
2024-03-31,57.91,$-3.56,0.0
2023-12-31,49.52,$-4.37,0.0
2023-09-30,44.03,$-1.87,0.0
2023-06-30,59.35,$-2.13,0.0
2023-03-31,58.67,$-2.16,0.0
2022-12-31,61.7,$-1.65,0.0
2022-09-30,44.4,$-0.89,0.0
2022-06-30,52.77,$-0.55,0.0
2022-03-31,74.44,$-0.28,0.0
2021-12-31,79.34,$0.24,330.58
2021-09-30,80.24,$0.46,174.43
2021-06-30,75.86,$0.28,270.93
2021-03-31,72.23,$0.34,212.44
2020-12-31,82.29,$-0.07,0.0
2020-09-30,77.16,$-0.13,0.0
2020-06-30,73.54,$-0.22,0.0
2020-03-31,53.78,$-0.11,0.0
2019-12-31,69.63,$-0.35,0.0
2019-09-30,56.7,$-0.42,0.0
2019-06-30,68.37,$-0.30,0.0
2019-03-31,65.39,$-0.44,0.0
2018-12-31,49.19,$0.11,447.18
2018-09-30,60.95,$0.49,124.39
2018-06-30,54.95,$0.40,137.38
2018-03-31,57.3,$0.37,154.86
2017-12-31,49.85,$-0.10,0.0
2017-09-30,51.0,$-1.23,0.0
2017-06-30,39.6,$-1.29,0.0
2017-03-31,32.3,$-1.33,0.0
2016-12-31,35.25,$-1.29,0.0
2016-09-30,36.45,$-0.64,0.0
2016-06-30,33.31,$-0.46,0.0
2016-03-31,27.2,$-0.20,0.0
2015-12-31,29.85,$0.13,229.62
2015-09-30,29.97,$0.33,90.82
2015-06-30,40.43,$0.34,118.91
2015-03-31,56.08,$0.37,151.57
2014-12-31,49.14,$0.38,129.32
2014-09-30,45.0,$0.30,150.0
2014-06-30,48.92,$0.24,203.83
2014-03-31,40.18,$0.17,236.35
2013-12-31,40.3,$0.11,366.36
2013-09-30,31.0,$0.11,281.82
2013-06-30,24.6,$0.09,273.33
2013-03-31,17.51,$0.04,437.75
2012-12-31,13.95,$0.08,174.38
2012-09-30,11.7,$0.12,97.5
2012-06-30,12.0,$0.17,70.59
2011-12-31,11.96,$0.23,52.0
2011-09-30,10.0,$0.20,50.0
2011-06-30,14.85,$0.16,92.81
2011-03-31,13.44,$0.11,122.18
