CarMax PE Ratio Historical Data,CarMax PE Ratio Historical Data,CarMax PE Ratio Historical Data,CarMax PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,84.55,,33.03
2024-05-31,70.26,$2.56,27.45
2024-02-29,79.0,$3.03,26.07
2023-11-30,63.94,$3.15,20.3
2023-08-31,81.68,$2.87,28.46
2023-05-31,72.21,$2.91,24.81
2023-02-28,69.04,$3.03,22.79
2022-11-30,69.36,$3.57,19.43
2022-08-31,88.44,$4.96,17.83
2022-05-31,99.27,$5.89,16.85
2022-02-28,109.33,$6.96,15.71
2021-11-30,141.25,$7.25,19.48
2021-08-31,125.21,$7.04,17.79
2021-05-31,115.19,$7.11,16.2
2021-02-28,119.51,$4.51,26.5
2020-11-30,93.48,$4.54,20.59
2020-08-31,106.93,$4.16,25.7
2020-05-31,88.05,$3.77,23.36
2020-02-29,87.31,$5.33,16.38
2019-11-30,97.26,$5.16,18.85
2019-08-31,83.28,$5.21,15.98
2019-05-31,78.28,$5.05,15.5
2019-02-28,62.1,$4.79,12.96
2018-11-30,66.07,$4.33,15.26
2018-08-31,78.05,$4.05,19.27
2018-05-31,68.92,$3.79,18.18
2018-02-28,61.92,$3.59,17.25
2017-11-30,68.91,$3.73,18.47
2017-08-31,67.15,$3.64,18.45
2017-05-31,62.83,$3.50,17.95
2017-02-28,64.54,$3.27,19.74
2016-11-30,57.79,$3.17,18.23
2016-08-31,58.95,$3.08,19.14
2016-05-31,53.66,$3.06,17.54
2016-02-29,46.26,$3.02,15.32
2015-11-30,57.3,$2.98,19.23
2015-08-31,61.0,$2.95,20.68
2015-05-31,71.04,$2.83,25.1
2015-02-28,67.11,$2.73,24.58
2014-11-30,56.98,$2.50,22.79
2014-08-31,52.4,$2.37,22.11
2014-05-31,44.31,$2.29,19.35
2014-02-28,48.43,$2.17,22.32
2013-11-30,50.35,$2.19,22.99
2013-08-31,47.56,$2.13,22.33
2013-05-31,46.77,$1.99,23.5
2013-02-28,38.41,$1.87,20.54
2012-11-30,36.26,$1.82,19.92
2012-08-31,30.59,$1.77,17.28
2012-05-31,28.21,$1.78,15.85
2012-02-29,30.69,$1.81,16.96
2011-11-30,28.76,$1.79,16.07
2011-08-31,28.11,$1.79,15.7
2011-05-31,29.66,$1.78,16.66
2011-02-28,35.37,$1.67,21.18
2010-11-30,32.9,$1.61,20.43
2010-08-31,19.93,$1.58,12.61
2010-05-31,21.73,$1.57,13.84
2010-02-28,20.19,$1.26,16.02
2009-11-30,19.88,$1.10,18.07
