Opera PE Ratio Historical Data,Opera PE Ratio Historical Data,Opera PE Ratio Historical Data,Opera PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.44,,7.92
2024-06-30,13.61,$1.95,6.98
2024-03-31,15.33,$1.88,8.15
2023-12-31,12.44,$1.88,6.61
2023-09-30,10.59,$0.72,14.71
2023-06-30,18.68,$0.62,30.12
2023-03-31,9.37,$0.42,22.3
2022-12-31,5.18,$0.17,30.45
2022-09-30,3.57,$-0.78,0.0
2022-06-30,3.63,$-0.66,0.0
2022-03-31,4.86,$-0.23,0.0
2021-12-31,5.81,$-0.14,0.0
2021-09-30,7.28,$0.81,8.99
2021-06-30,8.44,$1.92,4.39
2021-03-31,8.23,$1.68,4.9
2020-12-31,7.51,$1.50,5.01
2020-09-30,8.05,$1.46,5.51
2020-06-30,7.41,$0.40,18.52
2020-03-31,4.42,$0.29,15.24
2019-12-31,7.61,$0.51,14.93
2019-09-30,8.27,$0.43,19.24
2019-06-30,8.59,$0.27,31.82
