IBM PE Ratio Historical Data,IBM PE Ratio Historical Data,IBM PE Ratio Historical Data,IBM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,202.13,,22.29
2024-06-30,171.45,$9.07,18.9
2024-03-31,187.43,$8.83,21.23
2023-12-31,159.09,$8.13,19.57
2023-09-30,134.95,$7.54,17.9
2023-06-30,127.22,$2.16,58.9
2023-03-31,122.95,$1.97,62.41
2022-12-31,130.53,$1.76,74.17
2022-09-30,108.77,$1.37,79.39
2022-06-30,127.63,$6.16,20.72
2022-03-31,116.11,$6.10,19.03
2021-12-31,117.91,$6.35,18.57
2021-09-30,115.47,$5.29,21.83
2021-06-30,120.44,$5.93,20.31
2021-03-31,108.27,$5.98,18.11
2020-12-31,100.93,$6.23,16.2
2020-09-30,96.19,$8.83,10.89
2020-06-30,94.25,$8.81,10.7
2020-03-31,85.42,$10.10,8.46
2019-12-31,102.14,$10.57,9.66
2019-09-30,109.53,$8.61,12.72
2019-06-30,102.67,$9.68,10.61
2019-03-31,103.81,$9.48,10.95
2018-12-31,82.66,$9.51,8.69
2018-09-30,108.57,$6.22,17.46
2018-06-30,99.23,$6.20,16.01
2018-03-31,107.8,$6.07,17.76
2017-12-31,106.71,$6.11,17.46
2017-09-30,99.91,$11.97,8.35
2017-06-30,104.83,$12.03,8.71
2017-03-31,117.52,$12.16,9.66
2016-12-31,111.14,$12.40,8.96
2016-09-30,105.4,$12.27,8.59
2016-06-30,99.85,$12.30,8.12
2016-03-31,98.7,$13.19,7.48
2015-12-31,88.77,$13.45,6.6
2015-09-30,92.64,$14.37,6.45
2015-06-30,103.09,$11.38,9.06
2015-03-31,100.95,$12.00,8.41
2014-12-31,100.21,$11.94,8.39
2014-09-30,117.76,$12.16,9.68
2014-06-30,111.79,$15.82,7.07
2014-03-31,118.03,$14.61,8.08
2013-12-31,114.39,$15.02,7.62
2013-09-30,112.33,$14.42,7.79
2013-06-30,115.35,$14.07,8.2
2013-03-31,128.15,$14.50,8.84
2012-12-31,114.6,$14.41,7.95
2012-09-30,123.56,$13.90,8.89
2012-06-30,116.0,$13.76,8.43
2012-03-31,123.23,$13.42,9.18
2011-12-31,108.18,$13.12,8.25
2011-09-30,102.47,$12.68,8.08
2011-06-30,100.07,$12.31,8.13
2011-03-31,94.7,$11.92,7.94
2010-12-31,84.9,$11.58,7.33
2010-09-30,77.25,$10.99,7.03
2010-06-30,70.76,$10.57,6.69
2010-03-31,73.11,$10.28,7.11
2009-12-31,74.29,$10.01,7.42
