BioCryst Pharmaceuticals PE Ratio Historical Data,BioCryst Pharmaceuticals PE Ratio Historical Data,BioCryst Pharmaceuticals PE Ratio Historical Data,BioCryst Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.49,,0.0
2024-06-30,6.18,$-0.73,0.0
2024-03-31,5.08,$-1.07,0.0
2023-12-31,5.99,$-1.18,0.0
2023-09-30,7.08,$-1.25,0.0
2023-06-30,7.04,$-1.29,0.0
2023-03-31,8.34,$-1.21,0.0
2022-12-31,11.48,$-1.33,0.0
2022-09-30,12.6,$-1.05,0.0
2022-06-30,10.58,$-1.15,0.0
2022-03-31,16.26,$-1.07,0.0
2021-12-31,13.85,$-1.03,0.0
2021-09-30,14.37,$-1.27,0.0
2021-06-30,15.81,$-1.20,0.0
2021-03-31,10.17,$-1.20,0.0
2020-12-31,7.45,$-1.08,0.0
2020-09-30,3.44,$-0.76,0.0
2020-06-30,4.77,$-0.84,0.0
2020-03-31,2.0,$-0.94,0.0
2019-12-31,3.45,$-0.95,0.0
2019-09-30,2.87,$-1.21,0.0
2019-06-30,3.79,$-1.06,0.0
2018-12-31,8.07,$-0.98,0.0
2018-09-30,7.63,$-0.93,0.0
2018-06-30,5.73,$-0.93,0.0
2018-03-31,4.77,$-0.92,0.0
2017-12-31,4.91,$-0.87,0.0
2019-03-31,8.14,$-0.86,0.0
2017-09-30,5.24,$-0.64,0.0
2017-06-30,5.56,$-0.62,0.0
2017-03-31,8.4,$-0.63,0.0
2016-12-31,6.33,$-0.75,0.0
2016-09-30,4.41,$-0.94,0.0
2016-06-30,2.84,$-0.98,0.0
2016-03-31,2.83,$-0.70,0.0
2015-12-31,10.32,$-0.60,0.0
2015-09-30,11.4,$-0.51,0.0
2015-06-30,14.93,$-0.43,0.0
2015-03-31,9.03,$-0.72,0.0
2014-12-31,12.16,$-0.68,0.0
2014-09-30,9.78,$-0.61,0.0
2014-06-30,12.75,$-0.63,0.0
2014-03-31,10.58,$-0.63,0.0
2013-12-31,7.6,$-0.55,0.0
2013-09-30,7.28,$-0.68,0.0
2013-06-30,1.55,$-0.73,0.0
2013-03-31,1.19,$-0.75,0.0
2012-12-31,1.42,$-0.79,0.0
2012-09-30,4.24,$-0.86,0.0
2012-06-30,3.97,$-0.99,0.0
2012-03-31,4.83,$-1.10,0.0
2011-12-31,2.47,$-1.26,0.0
2011-09-30,2.76,$-1.17,0.0
2011-06-30,3.82,$-1.09,0.0
2011-03-31,3.79,$-0.96,0.0
2010-12-31,5.17,$-0.73,0.0
2010-09-30,4.94,$-0.18,0.0
2010-06-30,5.91,$-0.22,0.0
2010-03-31,6.57,$-0.22,0.0
2009-12-31,6.46,$-0.40,0.0
