Fresh Del Monte Produce PE Ratio Historical Data,Fresh Del Monte Produce PE Ratio Historical Data,Fresh Del Monte Produce PE Ratio Historical Data,Fresh Del Monte Produce PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.05,,0.0
2024-06-30,21.65,$-0.38,0.0
2024-03-31,25.41,$-0.51,0.0
2023-12-31,25.48,$-0.25,0.0
2023-09-30,24.88,$2.35,10.59
2023-06-30,24.57,$2.87,8.56
2023-03-31,28.56,$2.32,12.31
2022-12-31,24.72,$2.05,12.06
2022-09-30,21.82,$1.43,15.26
2022-06-30,27.58,$0.77,35.82
2022-03-31,24.06,$1.32,18.23
2021-12-31,25.48,$1.68,15.17
2021-09-30,29.59,$1.94,15.25
2021-06-30,30.06,$2.28,13.18
2021-03-31,26.1,$1.67,15.63
2020-12-31,21.87,$1.04,21.03
2020-09-30,20.73,$0.48,43.18
2020-06-30,22.22,$0.49,45.35
2020-03-31,24.87,$0.89,27.94
2019-12-31,31.39,$1.36,23.08
2019-09-30,30.53,$1.20,25.44
2019-06-30,24.07,$0.38,63.34
2019-03-31,24.14,$-0.56,0.0
2018-12-31,25.25,$-0.45,0.0
2018-09-30,30.13,$0.12,251.05
2018-06-30,39.45,$0.79,49.93
2018-03-31,39.93,$2.31,17.29
2017-12-31,41.94,$2.36,17.77
2017-09-30,39.87,$2.72,14.66
2017-06-30,44.52,$3.17,14.04
2017-03-31,51.65,$3.67,14.07
2016-12-31,52.73,$4.34,12.15
2016-09-30,51.97,$2.72,19.11
2016-06-30,47.11,$2.58,18.26
2016-03-31,36.32,$1.93,18.82
2015-12-31,33.46,$1.16,28.85
2015-09-30,33.91,$2.54,13.35
2015-06-30,33.07,$2.35,14.07
2015-03-31,33.18,$2.29,14.49
2014-12-31,28.5,$2.53,11.27
2014-09-30,27.0,$-0.08,0.0
2014-06-30,25.84,$-0.32,0.0
2014-03-31,23.15,$-0.37,0.0
2013-12-31,23.65,$-0.70,0.0
2013-09-30,24.68,$1.92,12.86
2013-06-30,23.09,$2.21,10.45
2013-03-31,22.23,$2.10,10.59
2012-12-31,21.61,$2.47,8.75
2012-09-30,20.92,$2.30,9.09
2012-06-30,19.1,$2.11,9.05
2012-03-31,18.51,$1.71,10.83
2011-12-31,20.18,$1.56,12.94
2011-09-30,18.65,$1.57,11.88
2011-06-30,21.34,$1.60,13.34
2011-03-31,20.86,$1.35,15.45
2010-12-31,19.89,$0.99,20.09
2010-09-30,17.26,$1.59,10.86
2010-06-30,16.1,$1.80,8.94
2010-03-31,16.11,$2.28,7.06
2009-12-31,17.58,$2.26,7.78
