Syndax Pharmaceuticals PE Ratio Historical Data,Syndax Pharmaceuticals PE Ratio Historical Data,Syndax Pharmaceuticals PE Ratio Historical Data,Syndax Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.89,,0.0
2024-06-30,20.53,$-3.38,0.0
2024-03-31,23.8,$-3.22,0.0
2023-12-31,21.61,$-2.96,0.0
2023-09-30,14.52,$-2.58,0.0
2023-06-30,20.93,$-2.43,0.0
2023-03-31,21.12,$-2.41,0.0
2022-12-31,25.45,$-2.45,0.0
2022-09-30,24.03,$-0.02,0.0
2022-06-30,19.24,$0.16,120.25
2022-03-31,17.38,$0.34,51.12
2021-12-31,21.89,$0.43,50.91
2021-09-30,19.11,$-1.82,0.0
2021-06-30,17.17,$-1.88,0.0
2021-03-31,22.36,$-1.86,0.0
2020-12-31,22.24,$-1.88,0.0
2020-09-30,14.76,$-1.88,0.0
2020-06-30,14.82,$-1.83,0.0
2020-03-31,10.97,$-1.88,0.0
2019-12-31,8.78,$-1.85,0.0
2019-09-30,7.47,$-2.11,0.0
2019-06-30,9.31,$-2.38,0.0
2019-03-31,5.25,$-2.65,0.0
2018-12-31,4.45,$-2.91,0.0
2018-09-30,8.08,$-3.01,0.0
2018-06-30,7.02,$-3.01,0.0
2018-03-31,14.23,$-2.97,0.0
2017-12-31,8.76,$-2.89,0.0
2017-09-30,11.7,$-2.68,0.0
2017-06-30,13.97,$-2.84,0.0
2017-03-31,13.72,$-2.61,0.0
2016-12-31,7.17,$-4.75,0.0
