KT PE Ratio Historical Data,KT PE Ratio Historical Data,KT PE Ratio Historical Data,KT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.71,,9.58
2024-06-30,13.67,$1.64,8.34
2024-03-31,13.84,$1.66,8.34
2023-12-31,13.1,$1.55,8.45
2023-09-30,11.87,$1.80,6.59
2023-06-30,10.46,$1.86,5.63
2023-03-31,10.5,$1.79,5.87
2022-12-31,12.5,$2.02,6.19
2022-09-30,10.74,$2.40,4.47
2022-06-30,12.27,$2.51,4.89
2022-03-31,12.6,$2.62,4.81
2021-12-31,11.05,$2.50,4.42
2021-09-30,11.29,$2.13,5.3
2021-06-30,11.57,$1.86,6.22
2021-03-31,10.32,$1.22,8.46
2020-09-30,7.55,$0.65,11.62
2020-06-30,7.66,$0.30,25.52
2019-09-30,8.56,0,0.0
2019-06-30,9.36,0,0.0
2018-09-30,10.88,0,0.0
2018-06-30,9.73,0,0.0
2017-09-30,9.87,0,0.0
2017-06-30,11.84,0,0.0
2016-12-31,10.02,0,0.0
2016-09-30,11.14,0,0.0
2016-06-30,9.89,0,0.0
2016-03-31,9.31,0,0.0
2015-12-31,8.26,0,0.0
2015-06-30,8.79,0,0.0
2015-03-31,9.08,0,0.0
2014-12-31,9.8,0,0.0
2014-09-30,11.25,0,0.0
2014-06-30,10.5,$0.49,21.44
2014-03-31,9.64,$0.49,19.67
2013-12-31,10.32,$0.49,21.06
2011-09-30,9.24,$0.49,18.86
2011-06-30,12.15,$0.59,20.6
2011-03-31,12.21,$-0.23,0.0
2010-12-31,13.0,$0.40,32.51
2010-06-30,11.5,$1.30,8.85
2009-12-31,10.09,$0.97,10.41
2009-09-30,10.02,$1.79,5.6
2009-06-30,8.28,$1.16,7.14
2009-03-31,7.95,$0.26,30.57
2013-03-31,10.68,0,0.0
2012-12-31,11.39,$0.70,16.26
2012-09-30,10.21,$0.70,14.59
2012-06-30,8.61,$0.70,12.3
2012-03-31,8.94,$0.70,12.77
