SL Green Realty PE Ratio Historical Data,SL Green Realty PE Ratio Historical Data,SL Green Realty PE Ratio Historical Data,SL Green Realty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,75.15,,0.0
2024-09-30,69.61,$-2.29,0.0
2024-06-30,56.02,$-2.67,0.0
2024-03-31,54.02,$-8.26,0.0
2023-12-31,43.59,$-9.09,0.0
2023-09-30,35.22,$-7.65,0.0
2023-06-30,27.77,$-7.16,0.0
2023-03-31,21.04,$-2.23,0.0
2022-12-31,29.37,$-1.49,0.0
2022-09-30,34.17,$-1.30,0.0
2022-06-30,38.45,$4.52,8.51
2022-03-31,66.57,$6.77,9.83
2021-12-31,59.87,$6.55,9.14
2021-09-30,56.66,$9.85,5.75
2021-06-30,63.19,$4.13,15.31
2021-03-31,54.64,$3.36,16.28
2020-12-31,47.24,$5.03,9.39
2020-09-30,34.95,$2.78,12.58
2020-06-30,36.47,$3.00,12.15
2020-03-31,31.32,$4.27,7.33
2019-12-31,66.34,$3.27,20.31
2019-09-30,58.46,$2.26,25.87
2019-06-30,56.88,$2.93,19.43
2019-03-31,62.97,$2.13,29.53
2018-12-31,54.86,$2.77,19.81
2018-09-30,67.66,$3.85,17.57
2018-06-30,69.16,$3.18,21.73
2018-03-31,66.08,$2.00,32.96
2017-12-31,68.3,$0.93,73.17
2017-09-30,68.02,$1.09,62.26
2017-06-30,70.49,$1.03,68.5
2017-03-31,70.52,$2.35,29.95
2016-12-31,70.61,$2.48,28.45
2016-09-30,70.45,$3.09,22.82
2016-06-30,68.94,$4.47,15.44
2016-03-31,62.28,$2.64,23.58
2015-12-31,72.09,$2.86,25.17
2015-09-30,68.58,$2.42,28.36
2015-06-30,69.29,$1.40,49.49
2015-03-31,80.52,$4.42,18.2
2014-12-31,74.3,$5.58,13.32
2014-09-30,62.94,$5.37,11.73
2014-06-30,67.64,$5.07,13.34
2014-03-31,61.92,$2.56,24.22
2013-12-31,56.56,$1.16,48.92
2013-09-30,54.1,$0.98,55.43
2013-06-30,53.51,$0.65,82.67
2013-03-31,52.05,$1.76,29.56
2012-12-31,46.16,$1.85,25.01
2012-09-30,48.01,$1.64,29.2
2012-06-30,47.96,$1.63,29.36
2012-03-31,46.2,$6.96,6.64
2011-12-31,39.57,$7.72,5.12
2011-09-30,34.4,$7.79,4.42
2011-06-30,48.94,$9.21,5.32
2011-03-31,44.36,$4.53,9.79
2010-12-31,39.77,$3.66,10.87
2010-09-30,37.25,$3.49,10.67
2010-06-30,32.32,$1.95,16.56
2010-03-31,33.57,$0.29,117.27
2009-12-31,29.4,$0.69,42.65
