HighPeak Energy PE Ratio Historical Data,HighPeak Energy PE Ratio Historical Data,HighPeak Energy PE Ratio Historical Data,HighPeak Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.37,,11.98
2024-06-30,14.06,$1.20,11.72
2024-03-31,15.77,$1.24,12.72
2023-12-31,14.24,$1.58,9.01
2023-09-30,16.88,$1.45,11.64
2023-06-30,10.88,$2.02,5.39
2023-03-31,23.0,$2.41,9.54
2022-12-31,22.87,$1.85,12.36
2022-09-30,21.66,$1.67,12.97
2022-06-30,25.59,$0.90,28.44
2022-03-31,22.16,$0.32,69.24
2021-12-31,14.59,$0.54,27.02
2021-09-30,8.95,$0.14,63.94
2021-06-30,10.08,$0.11,91.66
2021-03-31,5.96,$0.09,66.25
2020-12-31,15.74,$0.07,224.86
2018-12-31,9.7,$0.12,80.82
2018-09-30,9.57,$0.07,136.64
2018-06-30,9.5,$0.03,316.7
2020-09-30,6.95,0,0.0
2020-06-30,10.36,0,0.0
2020-03-31,10.24,$0.05,204.81
2019-12-31,10.22,$0.09,113.56
