Nordstrom PE Ratio Historical Data,Nordstrom PE Ratio Historical Data,Nordstrom PE Ratio Historical Data,Nordstrom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.46,,14.3
2024-07-31,22.64,$1.71,13.24
2024-04-30,18.85,$1.83,10.3
2024-01-31,17.81,$0.80,22.26
2023-10-31,13.55,$0.72,18.81
2023-07-31,22.12,$0.18,122.9
2023-04-30,14.63,$0.11,132.96
2023-01-31,18.28,$1.51,12.11
2022-10-31,18.85,$2.00,9.43
2022-07-31,21.56,$2.52,8.56
2022-04-30,23.4,$2.24,10.45
2022-01-31,20.34,$1.06,19.19
2021-10-31,25.98,$0.04,649.44
2021-07-31,29.93,$-0.01,0.0
2021-04-30,33.17,$-2.12,0.0
2021-01-31,32.05,$-4.40,0.0
2020-10-31,10.94,$-3.38,0.0
2020-07-31,12.38,$-2.91,0.0
2020-04-30,16.98,$-0.39,0.0
2020-01-31,32.87,$3.17,10.37
2019-10-31,31.71,$3.42,9.27
2019-07-31,28.88,$3.00,9.63
2019-04-30,35.36,$3.05,11.59
2019-01-31,39.67,$3.33,11.91
2018-10-31,55.82,$2.74,20.37
2018-07-31,44.22,$3.02,14.64
2018-04-30,42.36,$2.72,15.57
2018-01-31,41.02,$2.58,15.9
2017-10-31,32.69,$2.84,11.51
2017-07-31,39.71,$2.11,18.82
2017-04-30,39.11,$2.13,18.36
2017-01-31,35.56,$2.02,17.6
2016-10-31,41.55,$1.87,22.22
2016-07-31,35.09,$2.35,14.93
2016-04-30,40.17,$2.77,14.5
2016-01-31,38.31,$3.17,12.08
2015-10-31,50.55,$3.49,14.48
2015-07-31,54.94,$3.80,14.46
2015-04-30,54.13,$3.66,14.79
2015-01-31,54.34,$3.72,14.61
2014-10-31,51.55,$3.77,13.67
2014-07-31,49.15,$3.73,13.18
2014-04-30,43.09,$3.71,11.62
2014-01-31,40.18,$3.72,10.8
2013-10-31,42.09,$3.75,11.23
2013-07-31,42.4,$3.77,11.25
2013-04-30,38.99,$3.59,10.86
2013-01-31,37.84,$3.56,10.63
2012-10-31,38.7,$3.27,11.84
2012-07-31,36.74,$3.15,11.66
2012-04-30,37.71,$3.20,11.78
2012-01-31,33.17,$3.15,10.53
2011-10-31,33.87,$3.08,11.0
2011-07-31,33.35,$3.02,11.04
2011-04-30,31.46,$2.88,10.92
2011-01-31,27.1,$2.75,9.85
2010-10-31,25.23,$2.48,10.17
2010-07-31,22.13,$2.33,9.5
2010-04-30,26.76,$2.15,12.44
2010-01-31,22.26,$2.00,11.13
2009-10-31,20.39,$1.54,13.24
