Warrior Met Coal PE Ratio Historical Data,Warrior Met Coal PE Ratio Historical Data,Warrior Met Coal PE Ratio Historical Data,Warrior Met Coal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,63.5,,7.86
2024-06-30,62.69,$8.08,7.76
2024-03-31,60.55,$8.31,7.29
2023-12-31,60.2,$9.20,6.54
2023-09-30,50.37,$8.66,5.82
2023-06-30,38.34,$8.92,4.3
2023-03-31,36.06,$13.08,2.76
2022-12-31,33.19,$12.40,2.68
2022-09-30,27.21,$13.15,2.07
2022-06-30,28.56,$11.99,2.38
2022-03-31,34.02,$6.16,5.52
2021-12-31,23.53,$2.91,8.09
2021-09-30,21.25,$-0.43,0.0
2021-06-30,15.67,$-1.45,0.0
2021-03-31,15.56,$-1.54,0.0
2020-12-31,19.31,$-0.70,0.0
2020-09-30,15.42,$0.37,41.68
2020-06-30,13.85,$1.52,9.11
2020-03-31,9.52,$4.13,2.31
2019-12-31,18.89,$5.85,3.23
2019-09-30,17.41,$12.55,1.39
2019-06-30,23.24,$12.68,1.83
2019-03-31,27.01,$11.97,2.26
2018-12-31,21.38,$13.19,1.62
2018-09-30,23.94,$7.91,3.03
2018-06-30,24.36,$9.18,2.65
2018-03-31,19.2,$9.92,1.94
