BBVA Banco Frances S.A PE Ratio Historical Data,BBVA Banco Frances S.A PE Ratio Historical Data,BBVA Banco Frances S.A PE Ratio Historical Data,BBVA Banco Frances S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.32,,7.3
2024-06-30,8.24,$1.55,5.32
2024-03-31,7.23,$1.58,4.57
2023-12-31,4.64,$1.76,2.63
2023-09-30,3.54,$1.70,2.08
2023-06-30,5.22,$1.91,2.74
2023-03-31,3.34,$1.94,1.72
2022-12-31,3.32,$1.75,1.9
2022-09-30,2.53,$1.45,1.74
2022-06-30,1.88,$1.26,1.49
2022-03-31,2.8,$0.97,2.88
2021-12-31,2.48,$0.95,2.61
2021-09-30,3.06,$0.90,3.4
2021-06-30,2.56,$0.92,2.78
2021-03-31,2.15,$0.72,2.99
2020-12-31,2.53,$0.80,3.16
2020-09-30,1.98,$1.24,1.6
2020-06-30,2.95,$2.12,1.39
2020-03-31,2.06,$2.70,0.76
2019-12-31,4.39,$3.21,1.37
2019-09-30,3.41,$2.96,1.15
2019-06-30,8.91,$2.36,3.78
2019-03-31,7.26,$2.05,3.54
2018-12-31,8.65,$1.68,5.15
2018-09-30,8.91,$1.31,6.8
2018-06-30,9.44,$1.16,8.14
2018-03-31,17.22,$0.61,28.22
2017-12-31,19.02,$0.80,23.78
2017-09-30,15.39,$0.80,19.24
2017-06-30,14.06,$0.83,16.94
2017-03-31,13.68,$1.31,10.45
2016-12-31,12.95,$1.18,10.97
2016-09-30,14.78,$1.84,8.03
2016-06-30,15.07,$2.09,7.21
2016-03-31,14.59,$2.13,6.85
2015-12-31,13.84,$2.26,6.12
2015-09-30,11.25,$2.13,5.28
2015-06-30,11.52,$1.94,5.94
2015-03-31,14.81,$1.79,8.27
2014-12-31,10.0,$2.22,4.5
2014-09-30,9.37,$2.58,3.63
2014-06-30,8.43,$2.73,3.09
2014-03-31,6.06,$2.73,2.22
2013-12-31,5.04,$2.10,2.4
2013-09-30,4.8,$1.55,3.1
2013-06-30,2.69,$1.50,1.8
2013-03-31,3.0,$1.37,2.19
2012-12-31,3.64,$1.30,2.8
2012-09-30,2.97,$1.55,1.92
2012-06-30,2.41,$1.19,2.03
2012-03-31,4.37,$1.32,3.31
2011-12-31,3.53,$1.28,2.75
2011-09-30,3.98,$1.25,3.19
2011-06-30,7.46,$3.55,2.1
2011-03-31,7.21,$4.42,1.63
2010-12-31,7.63,$4.38,1.74
2010-09-30,6.51,$3.82,1.7
2010-06-30,4.16,$3.10,1.34
2010-03-31,4.35,$2.30,1.89
2009-12-31,3.7,$2.56,1.45
