Revolve PE Ratio Historical Data,Revolve PE Ratio Historical Data,Revolve PE Ratio Historical Data,Revolve PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.35,,58.56
2024-06-30,15.91,$0.45,35.36
2024-03-31,21.17,$0.34,62.26
2023-12-31,16.58,$0.38,43.63
2023-09-30,13.61,$0.44,30.93
2023-06-30,16.4,$0.56,29.29
2023-03-31,26.3,$0.68,38.68
2022-12-31,22.26,$0.79,28.18
2022-09-30,21.69,$1.07,20.27
2022-06-30,25.91,$1.13,22.93
2022-03-31,53.69,$1.33,40.37
2021-12-31,56.04,$1.33,42.14
2021-09-30,61.77,$1.20,51.48
2021-06-30,68.9,$1.25,55.12
2021-03-31,44.93,$1.03,43.62
2020-12-31,31.17,$0.79,39.46
2020-09-30,16.43,$0.65,25.28
2020-06-30,14.86,$0.51,29.14
2020-03-31,8.64,$-0.26,0.0
