WesBanco PE Ratio Historical Data,WesBanco PE Ratio Historical Data,WesBanco PE Ratio Historical Data,WesBanco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,31.89,,14.97
2024-06-30,27.59,$2.13,12.95
2024-03-31,29.07,$2.40,12.11
2023-12-31,30.22,$2.51,12.04
2023-09-30,23.23,$2.80,8.3
2023-06-30,24.02,$3.07,7.83
2023-03-31,28.44,$3.03,9.39
2022-12-31,33.9,$3.04,11.15
2022-09-30,30.31,$3.02,10.04
2022-06-30,28.53,$2.81,10.15
2022-03-31,30.59,$3.15,9.71
2021-12-31,30.85,$3.52,8.76
2021-09-30,29.75,$3.45,8.62
2021-06-30,30.78,$3.42,9.0
2021-03-31,30.88,$2.48,12.45
2020-12-31,25.43,$1.78,14.28
2020-09-30,17.94,$1.63,11.01
2020-06-30,16.81,$1.70,9.89
2020-03-31,19.32,$2.45,7.88
2019-12-31,30.35,$2.84,10.69
2019-09-30,29.76,$3.04,9.79
2019-06-30,30.43,$3.00,10.14
2019-03-31,31.1,$2.89,10.76
2018-12-31,28.49,$2.91,9.79
2018-09-30,34.36,$2.47,13.91
2018-06-30,34.51,$2.43,14.2
2018-03-31,32.22,$2.32,13.89
2017-12-31,30.75,$2.15,14.3
2017-09-30,30.84,$2.34,13.18
2017-06-30,29.51,$2.18,13.54
2017-03-31,28.25,$2.16,13.08
2016-12-31,31.71,$2.17,14.61
2016-09-30,24.07,$2.22,10.84
2016-06-30,22.57,$2.36,9.56
2016-03-31,21.43,$2.18,9.83
2015-12-31,21.48,$2.14,10.04
2015-09-30,22.34,$2.16,10.34
2015-03-31,22.81,$2.22,10.27
2014-12-31,24.19,$2.38,10.16
2014-09-30,21.13,$2.34,9.03
2014-06-30,21.29,$2.28,9.34
2014-03-31,21.67,$2.17,9.99
2013-12-31,21.63,$2.19,9.88
2015-06-30,23.98,$2.22,10.8
2013-09-30,19.97,$2.12,9.42
2013-06-30,17.63,$2.07,8.52
2013-03-31,15.85,$1.94,8.17
2012-12-31,14.59,$1.84,7.93
2012-09-30,13.49,$1.78,7.58
2012-06-30,13.73,$1.71,8.03
2012-03-31,12.89,$1.71,7.54
2011-12-31,12.35,$1.65,7.49
2011-09-30,10.9,$1.64,6.64
2011-06-30,12.27,$1.57,7.82
2011-03-31,12.82,$1.43,8.97
2010-12-31,11.65,$1.34,8.7
2010-09-30,9.97,$1.22,8.17
2010-06-30,10.19,$0.97,10.5
2010-03-31,9.75,$0.90,10.83
2009-12-31,7.33,$0.77,9.53
