Sonic Automotive PE Ratio Historical Data,Sonic Automotive PE Ratio Historical Data,Sonic Automotive PE Ratio Historical Data,Sonic Automotive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,56.78,,10.5
2024-06-30,54.18,$5.41,10.01
2024-03-31,56.34,$4.88,11.54
2023-12-31,55.29,$4.97,11.13
2023-09-30,46.73,$-1.36,0.0
2023-06-30,46.39,$-1.05,0.0
2023-03-31,52.54,$0.64,82.1
2022-12-31,47.39,$1.68,28.21
2022-09-30,41.42,$9.15,4.53
2022-06-30,34.85,$8.87,3.93
2022-03-31,40.19,$9.16,4.39
2021-12-31,46.5,$8.08,5.75
2021-09-30,49.28,$7.13,6.91
2021-06-30,41.86,$6.52,6.42
2021-03-31,46.26,$4.60,10.06
2020-12-31,35.93,$-1.33,0.0
2020-09-30,37.32,$-1.59,0.0
2020-06-30,29.58,$-2.27,0.0
2020-03-31,12.27,$-2.37,0.0
2019-12-31,28.47,$3.29,8.65
2019-09-30,28.76,$2.76,10.42
2019-06-30,21.31,$2.45,8.7
2019-03-31,13.46,$2.23,6.04
2018-12-31,12.42,$1.20,10.35
2018-09-30,17.39,$2.11,8.24
2018-06-30,18.46,$2.20,8.39
2018-03-31,16.93,$2.08,8.14
2017-12-31,16.44,$2.12,7.75
2017-09-30,18.13,$1.53,11.85
2017-06-30,17.24,$1.49,11.57
2017-03-31,17.73,$1.72,10.31
2016-12-31,20.2,$2.04,9.9
2016-09-30,16.54,$1.83,9.04
2016-06-30,15.01,$1.95,7.7
2016-03-31,16.17,$1.74,9.29
2015-12-31,19.86,$1.70,11.68
2015-09-30,17.79,$1.58,11.26
2015-06-30,20.74,$1.53,13.55
2015-03-31,21.65,$1.75,12.37
2014-12-31,23.48,$1.84,12.76
2014-09-30,21.26,$1.87,11.37
2014-06-30,23.12,$1.84,12.57
2014-03-31,19.46,$1.50,12.98
2013-12-31,21.17,$1.54,13.75
2013-09-30,20.56,$1.56,13.18
2013-06-30,18.24,$1.30,14.03
2013-03-31,19.09,$1.57,12.16
2012-12-31,17.98,$1.52,11.83
2012-09-30,16.31,$1.32,12.35
2012-06-30,11.73,$1.47,7.98
2012-03-31,15.33,$1.38,11.11
2011-12-31,12.66,$1.29,9.81
2011-09-30,9.2,$1.94,4.74
2011-06-30,12.46,$1.84,6.77
2011-03-31,11.89,$1.65,7.21
2010-12-31,11.21,$1.47,7.63
2010-09-30,8.31,$0.72,11.54
2010-06-30,7.23,$0.66,10.96
2010-03-31,9.29,$0.50,18.59
2009-12-31,8.78,$0.46,19.08
