ANI Pharmaceuticals PE Ratio Historical Data,ANI Pharmaceuticals PE Ratio Historical Data,ANI Pharmaceuticals PE Ratio Historical Data,ANI Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,60.12,,51.38
2024-06-30,63.68,$1.17,54.43
2024-03-31,69.13,$1.60,43.21
2023-12-31,55.14,$0.84,65.64
2023-09-30,58.06,$0.52,111.65
2023-06-30,53.83,$-0.48,0.0
2023-03-31,39.72,$-1.71,0.0
2022-12-31,40.23,$-3.04,0.0
2022-09-30,32.14,$-4.48,0.0
2022-06-30,29.67,$-4.30,0.0
2022-03-31,28.11,$-4.53,0.0
2021-12-31,46.08,$-3.25,0.0
2021-09-30,32.82,$-1.83,0.0
2021-06-30,35.05,$-1.42,0.0
2021-03-31,36.14,$-1.28,0.0
2020-12-31,29.04,$-1.88,0.0
2020-09-30,28.21,$-1.99,0.0
2020-06-30,32.34,$-1.71,0.0
2020-03-31,40.74,$-0.15,0.0
2019-12-31,61.67,$0.48,128.48
2019-09-30,72.88,$1.35,53.99
2019-06-30,82.2,$1.45,56.69
2019-03-31,70.54,$1.15,61.34
2018-12-31,45.02,$1.30,34.63
2018-09-30,56.54,$0.01,5654.0
2018-06-30,66.8,$-0.01,0.0
2018-03-31,58.22,$-0.01,0.0
2017-12-31,64.45,$-0.10,0.0
2017-09-30,52.49,$0.64,82.02
2017-06-30,46.8,$0.46,101.74
2017-03-31,49.51,$0.33,150.03
2016-12-31,60.62,$0.35,173.2
2016-09-30,66.35,$0.69,96.16
2016-06-30,55.82,$0.86,64.91
2016-03-31,33.66,$1.07,31.46
2015-12-31,45.13,$1.33,33.93
2015-09-30,39.51,$2.90,13.62
2015-06-30,62.05,$3.10,20.02
2015-03-31,62.55,$2.58,24.24
2014-12-31,56.39,$2.53,22.29
2014-09-30,28.28,$1.07,26.43
2014-06-30,34.44,$0.61,56.46
2014-03-31,31.35,$-5.20,0.0
2013-12-31,20.08,$-6.07,0.0
2013-09-30,9.77,$-7.39,0.0
2013-06-30,6.0,$-9.14,0.0
2013-03-31,7.02,$-5.28,0.0
2012-12-31,7.38,$-7.98,0.0
2012-09-30,11.34,$-9.18,0.0
2012-06-30,15.3,$-11.88,0.0
2012-03-31,24.48,$-15.47,0.0
2011-12-31,18.08,$-19.43,0.0
2011-09-30,82.08,$-23.75,0.0
2011-06-30,99.0,$-25.19,0.0
2011-03-31,71.28,$-25.55,0.0
2010-12-31,59.04,$-25.19,0.0
2010-09-30,60.48,$-48.94,0.0
2010-06-30,63.36,$-50.74,0.0
2010-03-31,64.44,$-50.74,0.0
2009-12-31,52.2,$-49.30,0.0
