J.B Hunt Transport Services PE Ratio Historical Data,J.B Hunt Transport Services PE Ratio Historical Data,J.B Hunt Transport Services PE Ratio Historical Data,J.B Hunt Transport Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,173.2,,29.81
2024-06-30,159.58,$5.81,27.47
2024-03-31,198.23,$6.30,31.46
2023-12-31,198.31,$6.97,28.45
2023-09-30,186.72,$7.42,25.16
2023-06-30,178.94,$8.19,21.85
2023-03-31,173.02,$8.80,19.66
2022-12-31,171.56,$9.20,18.65
2022-09-30,153.54,$9.56,16.06
2022-06-30,154.23,$8.87,17.39
2022-03-31,196.21,$8.06,24.34
2021-12-31,199.32,$7.14,27.92
2021-09-30,162.82,$6.30,25.84
2021-06-30,158.38,$5.60,28.28
2021-03-31,163.07,$5.13,31.79
2020-12-31,132.33,$4.74,27.92
2020-09-30,122.12,$4.65,26.26
2020-06-30,116.05,$4.87,23.83
2020-03-31,88.7,$4.96,17.88
2019-12-31,112.04,$5.07,22.1
2019-09-30,105.93,$4.53,23.38
2019-06-30,87.29,$4.32,20.21
2019-03-31,96.46,$4.46,21.63
2018-12-31,88.39,$4.44,19.91
2018-09-30,112.75,$7.11,15.86
2018-06-30,115.0,$6.83,16.84
2018-03-31,110.61,$6.34,17.45
2017-12-31,108.33,$6.19,17.5
2017-09-30,104.43,$3.76,27.78
2017-06-30,85.69,$3.82,22.43
2017-03-31,85.81,$3.86,22.23
2016-12-31,90.58,$3.82,23.71
2016-09-30,75.51,$3.78,19.98
2016-06-30,75.12,$3.80,19.77
2016-03-31,77.98,$3.76,20.74
2015-12-31,67.7,$3.66,18.5
2015-09-30,65.71,$3.58,18.36
2015-06-30,75.36,$3.46,21.78
2015-03-31,78.21,$3.37,23.21
2014-12-31,76.96,$3.17,24.28
2014-09-30,67.48,$3.01,22.42
2014-06-30,67.06,$2.89,23.2
2014-03-31,65.2,$2.83,23.04
2013-12-31,69.89,$2.86,24.44
2013-09-30,65.8,$2.79,23.58
2013-06-30,65.05,$2.69,24.18
2013-03-31,66.93,$2.63,25.45
2012-12-31,53.65,$2.59,20.72
2012-09-30,46.53,$2.50,18.61
2012-06-30,53.15,$2.42,21.96
2012-03-31,48.36,$2.28,21.21
2011-12-31,39.98,$2.11,18.95
2011-09-30,31.95,$1.96,16.3
2011-06-30,41.53,$1.80,23.07
2011-03-31,39.95,$1.67,23.92
2010-12-31,35.78,$1.56,22.94
2010-09-30,30.33,$1.42,21.36
2010-06-30,28.46,$1.32,21.56
2010-03-31,31.15,$1.11,28.06
2009-12-31,27.91,$1.06,26.33
