ICON PE Ratio Historical Data,ICON PE Ratio Historical Data,ICON PE Ratio Historical Data,ICON PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,295.24,,34.41
2024-06-30,313.47,$8.58,36.53
2024-03-31,335.95,$8.22,40.87
2023-12-31,283.07,$7.38,38.36
2023-09-30,246.25,$6.20,39.72
2023-06-30,250.2,$6.17,40.55
2023-03-31,213.59,$6.18,34.56
2022-12-31,194.25,$6.13,31.69
2022-09-30,183.78,$5.63,32.64
2022-06-30,216.7,$2.52,85.99
2022-03-31,243.22,$2.49,97.68
2021-12-31,309.7,$2.95,104.98
2021-09-30,262.02,$3.93,66.67
2021-06-30,206.71,$6.82,30.31
2021-03-31,196.37,$6.34,30.97
2020-12-31,194.98,$6.14,31.76
2020-09-30,191.09,$6.00,31.85
2020-06-30,168.46,$6.00,28.08
2020-03-31,136.0,$6.79,20.03
2019-12-31,172.23,$6.80,25.33
2019-09-30,147.34,$6.66,22.12
2019-06-30,153.97,$6.48,23.76
2019-03-31,136.58,$6.10,22.39
2018-12-31,129.21,$5.89,21.94
2018-09-30,153.75,$5.57,27.6
2018-06-30,132.53,$5.38,24.63
2018-03-31,118.14,$5.26,22.46
2017-12-31,112.15,$5.13,21.86
2017-09-30,113.88,$5.16,22.07
2017-06-30,97.79,$4.94,19.8
2017-03-31,79.72,$4.89,16.3
2016-12-31,75.2,$4.72,15.93
2016-09-30,77.37,$4.50,17.19
2016-06-30,70.01,$4.39,15.95
2016-03-31,75.1,$4.20,17.88
2015-12-31,77.7,$3.98,19.52
2015-09-30,70.97,$3.74,18.98
2015-06-30,67.3,$3.51,19.17
2015-03-31,70.53,$3.13,22.53
2014-12-31,50.99,$2.76,18.47
2014-09-30,57.23,$2.34,24.46
2014-03-31,47.55,$1.91,24.9
2013-12-31,40.42,$1.65,24.49
2013-09-30,40.93,$1.46,28.03
2013-06-30,35.43,$1.65,21.47
2013-03-31,32.29,$1.58,20.44
2012-12-31,27.76,$1.48,18.76
2014-06-30,47.11,$1.29,36.52
2012-09-30,24.37,$0.72,33.85
2012-06-30,22.53,$0.39,57.77
2012-03-31,21.22,$0.39,54.41
2011-12-31,17.11,$0.38,45.03
2011-09-30,16.08,$0.67,24.0
2011-06-30,23.56,$1.04,22.65
2011-03-31,21.59,$1.21,17.84
2010-12-31,21.9,$1.44,15.21
2010-09-30,21.62,$1.59,13.6
2010-06-30,28.89,$1.66,17.4
2010-03-31,26.41,$1.59,16.61
2009-12-31,21.73,$1.57,13.84
