Powell Industries PE Ratio Historical Data,Powell Industries PE Ratio Historical Data,Powell Industries PE Ratio Historical Data,Powell Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,275.58,,25.78
2024-06-30,143.16,$10.69,13.39
2024-03-31,141.82,$8.42,16.84
2023-12-31,87.95,$6.37,13.81
2023-09-30,82.23,$4.49,18.31
2023-06-30,59.91,$3.05,19.64
2023-03-31,41.91,$2.29,18.3
2022-12-31,34.41,$1.49,23.09
2022-09-30,20.41,$1.67,12.22
2022-06-30,22.41,$0.77,29.11
2022-03-31,18.44,$-0.01,0.0
2021-09-30,22.85,$0.06,380.88
2021-06-30,28.5,$0.03,949.9
2021-03-31,30.96,$-0.04,0.0
2020-12-31,26.71,$0.28,95.4
2020-09-30,21.64,$0.95,22.78
2021-12-31,27.69,$0.94,29.46
2020-06-30,24.34,$1.74,13.99
2020-03-31,22.58,$1.88,12.01
2019-12-31,42.79,$1.32,32.41
2019-09-30,33.97,$0.85,39.96
2019-06-30,32.74,$0.42,77.95
2019-03-31,22.71,$0.01,0.0
2018-12-31,21.23,$-0.36,0.0
2018-09-30,30.52,$-0.62,0.0
2018-06-30,29.13,$-1.20,0.0
2018-03-31,22.28,$-1.51,0.0
2017-12-31,23.56,$-1.29,0.0
2017-09-30,24.43,$-0.83,0.0
2017-06-30,25.82,$0.10,258.23
2017-03-31,27.59,$0.81,34.06
2016-12-31,31.01,$1.37,22.63
2016-09-30,31.65,$1.36,23.28
2016-06-30,30.88,$1.42,21.75
2016-03-31,23.22,$1.59,14.6
2015-12-31,20.08,$0.79,25.41
2015-09-30,23.03,$0.81,28.44
2015-06-30,26.66,$0.47,56.73
2015-03-31,25.42,$0.11,231.12
2014-12-31,36.66,$1.71,21.44
2014-09-30,30.34,$2.41,12.59
2014-06-30,48.32,$3.75,12.88
2014-03-31,47.7,$4.28,11.14
2013-12-31,49.12,$3.56,13.8
2013-09-30,44.76,$3.50,12.79
2013-06-30,37.72,$2.95,12.79
2013-03-31,38.39,$3.20,12.0
2012-12-31,30.33,$3.26,9.3
2012-09-30,28.24,$2.49,11.34
2012-06-30,27.28,$0.91,29.98
2012-03-31,25.01,$0.03,833.78
2011-12-31,22.84,$-0.39,0.0
2011-09-30,22.62,$-0.03,0.0
2011-06-30,26.66,$0.15,177.71
2011-03-31,28.8,$0.89,32.36
2010-12-31,24.01,$1.53,15.69
2010-09-30,22.73,$2.15,10.57
2010-06-30,19.97,$3.41,5.86
2010-03-31,23.76,$3.67,6.47
2009-12-31,23.03,$3.59,6.41
