Pitney Bowes PE Ratio Historical Data,Pitney Bowes PE Ratio Historical Data,Pitney Bowes PE Ratio Historical Data,Pitney Bowes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.06,,0.0
2024-06-30,5.04,$-2.29,0.0
2023-12-31,4.27,$-2.19,0.0
2023-09-30,2.9,$-0.88,0.0
2023-06-30,3.35,$-0.78,0.0
2023-03-31,3.62,$0.05,72.46
2022-12-31,3.5,$0.21,16.66
2022-09-30,2.11,$0.18,11.74
2022-06-30,3.24,$0.20,16.18
2022-03-31,4.6,$0.29,15.85
2021-12-31,5.8,$0.15,38.67
2021-09-30,6.27,$-0.04,0.0
2021-06-30,7.57,$0.02,378.61
2024-03-31,4.26,$-0.02,0.0
2021-03-31,7.07,$-0.02,0.0
2020-12-31,5.26,$-1.06,0.0
2020-09-30,4.49,$-0.14,0.0
2020-06-30,2.18,$-0.23,0.0
2020-03-31,1.68,$-0.08,0.0
2019-12-31,3.27,$1.13,2.9
2019-09-30,3.67,$0.34,10.8
2019-06-30,3.39,$0.77,4.41
2019-03-31,5.39,$0.90,5.99
2018-12-31,4.6,$1.19,3.87
2018-09-30,5.38,$1.43,3.76
2018-06-30,6.37,$1.33,4.79
2018-03-31,7.92,$1.33,5.96
2017-12-31,8.01,$1.40,5.72
2017-09-30,9.85,$0.48,20.52
2017-06-30,10.46,$0.52,20.11
2017-03-31,8.97,$0.54,16.61
2016-12-31,10.25,$0.49,20.91
2016-09-30,12.1,$1.37,8.83
2016-06-30,11.74,$1.46,8.04
2016-03-31,14.06,$1.93,7.29
2015-12-31,13.34,$2.03,6.57
2015-09-30,12.71,$1.90,6.69
2015-06-30,13.21,$2.11,6.26
2015-03-31,14.68,$1.82,8.06
2014-12-31,15.21,$1.64,9.28
2014-09-30,15.48,$1.77,8.75
2014-06-30,16.99,$1.09,15.59
2014-03-31,15.88,$0.58,27.38
2013-12-31,14.13,$0.69,20.48
2013-09-30,10.94,$0.80,13.68
2013-06-30,8.74,$1.21,7.22
2013-03-31,8.74,$1.76,4.97
2012-12-31,6.09,$2.22,2.74
2012-09-30,7.65,$2.95,2.59
2012-06-30,8.07,$3.43,2.35
2012-03-31,9.24,$3.42,2.7
2011-12-31,9.55,$3.05,3.13
2011-09-30,9.5,$2.08,4.57
2011-06-30,11.38,$1.65,6.9
2011-03-31,12.53,$1.46,8.58
2010-12-31,11.63,$1.42,8.19
2010-09-30,10.12,$1.58,6.4
2010-06-30,10.2,$1.65,6.18
2010-03-31,11.19,$1.92,5.83
2009-12-31,10.26,$2.04,5.03
