Oaktree Specialty Lending PE Ratio Historical Data,Oaktree Specialty Lending PE Ratio Historical Data,Oaktree Specialty Lending PE Ratio Historical Data,Oaktree Specialty Lending PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.58,,19.06
2024-06-30,18.19,$0.87,20.91
2024-03-31,18.47,$1.34,13.79
2023-12-31,18.65,$1.51,12.35
2023-09-30,17.83,$1.59,11.21
2023-06-30,16.75,$1.20,13.96
2023-03-31,15.74,$0.09,175.03
2022-12-31,16.77,$0.04,420.37
2022-09-30,13.99,$0.48,29.15
2022-06-30,14.89,$0.87,17.11
2022-03-31,16.33,$2.28,7.16
2021-12-31,16.17,$3.84,4.21
2021-09-30,14.98,$4.56,3.29
2021-06-30,13.91,$5.46,2.55
2021-03-31,12.65,$7.23,1.75
2020-12-31,11.15,$1.92,5.81
2020-09-30,9.5,$0.84,11.31
2020-06-30,8.59,$-0.36,0.0
2020-03-31,6.1,$-2.49,0.0
2019-12-31,10.03,$2.40,4.18
2019-09-30,9.35,$2.70,3.46
2019-06-30,9.61,$3.12,3.08
2019-03-31,9.02,$3.21,2.81
2018-12-31,7.24,$2.25,3.22
2018-09-30,8.3,$0.99,8.39
2018-06-30,7.85,$-2.40,0.0
2018-03-31,6.78,$-3.03,0.0
2017-12-31,7.72,$-3.27,0.0
2017-09-30,8.42,$-4.17,0.0
2017-06-30,7.31,$-1.56,0.0
2017-03-31,6.91,$-1.56,0.0
2016-12-31,7.81,$-1.65,0.0
2016-09-30,8.19,$-1.35,0.0
2016-06-30,6.62,$-1.35,0.0
2016-03-31,6.62,$-0.84,0.0
2015-12-31,8.11,$-0.42,0.0
2015-09-30,7.62,$0.24,31.75
2015-06-30,7.87,$0.87,9.04
2015-03-31,8.55,$0.93,9.19
2014-12-31,9.19,$1.05,8.75
2014-09-30,10.21,$2.37,4.31
2014-06-30,10.65,$2.43,4.38
2014-03-31,9.98,$2.64,3.78
2013-12-31,9.5,$2.88,3.3
2013-09-30,10.31,$2.73,3.78
2013-06-30,10.2,$3.06,3.33
2013-03-31,10.47,$3.18,3.29
2012-12-31,9.64,$3.03,3.18
2012-09-30,9.88,$2.85,3.47
2012-06-30,8.74,$0.90,9.71
2012-03-31,8.29,$1.02,8.13
2011-12-31,7.91,$1.11,7.12
2011-09-30,7.46,$1.68,4.44
2011-06-30,9.09,$2.94,3.09
2011-03-31,10.19,$2.82,3.61
2010-12-31,9.05,$2.79,3.24
2010-09-30,8.01,$2.49,3.22
2010-06-30,7.85,$2.97,2.64
2010-03-31,8.05,$3.24,2.48
2009-12-31,7.25,$3.45,2.1
