Lithia Motors PE Ratio Historical Data,Lithia Motors PE Ratio Historical Data,Lithia Motors PE Ratio Historical Data,Lithia Motors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,315.37,,10.19
2024-06-30,251.98,$30.96,8.14
2024-03-31,299.69,$33.87,8.85
2023-12-31,327.44,$36.28,9.03
2023-09-30,293.1,$37.54,7.81
2023-06-30,301.33,$40.00,7.53
2023-03-31,226.31,$40.82,5.54
2022-12-31,202.06,$44.07,4.59
2022-09-30,211.32,$44.64,4.73
2022-06-30,270.26,$42.83,6.31
2022-03-31,294.71,$41.98,7.02
2021-12-31,291.28,$36.24,8.04
2021-09-30,310.64,$33.69,9.22
2021-06-30,336.39,$30.44,11.05
2021-03-31,381.51,$23.07,16.54
2020-12-31,286.01,$19.23,14.87
2020-09-30,222.49,$15.10,14.73
2020-06-30,147.53,$11.88,12.42
2020-03-31,79.51,$11.13,7.14
2019-12-31,142.44,$11.70,12.17
2019-09-30,128.03,$12.65,10.12
2019-06-30,114.61,$11.45,10.01
2018-12-31,73.21,$10.89,6.72
2018-09-30,78.06,$11.91,6.55
2018-06-30,90.09,$10.14,8.88
2018-03-31,95.47,$9.71,9.83
2017-12-31,107.61,$9.67,11.13
2017-09-30,113.7,$8.25,13.78
2017-03-31,80.5,$8.19,9.83
2016-12-31,90.77,$7.73,11.74
2016-09-30,89.26,$7.50,11.9
2016-06-30,66.21,$7.00,9.46
2016-03-31,81.1,$6.92,11.72
2015-12-31,98.85,$6.90,14.33
2015-09-30,100.02,$6.65,15.04
2015-06-30,104.52,$6.32,16.54
2015-03-31,91.64,$5.84,15.69
2014-12-31,79.77,$6.43,12.41
2014-09-30,69.5,$5.82,11.94
2014-06-30,86.22,$5.55,15.54
2017-06-30,88.83,$5.28,16.82
2014-03-31,60.78,$4.14,14.68
2013-12-31,63.36,$4.05,15.64
2013-09-30,66.46,$3.77,17.63
2013-06-30,48.46,$3.49,13.89
2013-03-31,43.05,$3.29,13.09
2012-12-31,33.93,$3.07,11.05
2012-09-30,30.03,$3.02,9.94
2012-06-30,20.71,$2.74,7.56
2012-03-31,23.44,$2.51,9.34
2011-12-31,19.5,$2.21,8.83
2011-09-30,12.79,$1.66,7.7
2011-06-30,17.39,$1.41,12.33
2011-03-31,12.86,$0.79,16.28
2010-12-31,12.56,$0.40,31.41
2010-09-30,8.4,$0.50,16.8
2010-06-30,5.38,$0.30,17.93
2009-12-31,7.11,$0.43,16.54
2009-09-30,13.49,$0.54,24.98
2009-06-30,8.0,$2.70,2.96
