Navigator Holdings PE Ratio Historical Data,Navigator Holdings PE Ratio Historical Data,Navigator Holdings PE Ratio Historical Data,Navigator Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.05,,14.2
2024-06-30,17.41,$1.13,15.4
2024-03-31,15.25,$1.17,13.04
2023-12-31,14.46,$1.11,13.03
2023-09-30,14.63,$1.00,14.63
2023-06-30,12.84,$0.77,16.67
2023-03-31,13.81,$0.59,23.41
2022-12-31,11.8,$0.69,17.1
2022-09-30,11.3,$-0.05,0.0
2022-06-30,11.14,$0.02,556.96
2022-03-31,12.05,$-0.15,0.0
2021-12-31,8.75,$-0.45,0.0
2021-09-30,8.78,$0.22,39.91
2021-06-30,10.8,$0.15,72.03
2021-03-31,8.78,$0.19,46.22
2020-12-31,10.8,$-0.00,0.0
2020-09-30,8.25,$-0.11,0.0
2020-06-30,6.34,$-0.19,0.0
2020-03-31,4.4,$-0.30,0.0
2019-12-31,13.29,$-0.23,0.0
2019-09-30,10.54,$-0.17,0.0
2019-03-31,10.85,$-0.18,0.0
2018-12-31,9.27,$-0.11,0.0
2018-09-30,11.94,$-0.01,0.0
2018-06-30,12.48,$-0.04,0.0
2018-03-31,11.59,$0.06,193.22
2017-12-31,9.72,$0.19,51.15
2017-09-30,10.95,$0.28,39.11
2017-06-30,8.19,$0.50,16.38
2016-12-31,9.18,$0.81,11.33
2016-09-30,7.09,$1.10,6.45
2016-06-30,11.35,$1.39,8.16
2016-03-31,15.93,$1.66,9.6
2015-12-31,13.47,$1.71,7.88
2015-09-30,13.17,$1.72,7.66
2015-06-30,18.69,$1.74,10.74
2015-03-31,18.84,$1.62,11.63
2014-12-31,20.78,$1.53,13.58
2014-09-30,27.46,$1.31,20.96
2014-06-30,28.99,$1.12,25.88
2014-03-31,25.65,$1.02,25.15
2013-12-31,26.58,$0.89,29.87
2013-09-30,17.02,$0.86,19.79
2013-06-30,15.54,$0.77,20.18
2012-06-30,9.87,$0.75,13.16
2012-03-31,9.54,$0.79,12.07
2011-12-31,9.29,$0.46,20.2
2012-12-31,11.51,$0.36,31.97
2012-09-30,9.18,$0.31,29.6
