Capital Clean Energy Carriers PE Ratio Historical Data,Capital Clean Energy Carriers PE Ratio Historical Data,Capital Clean Energy Carriers PE Ratio Historical Data,Capital Clean Energy Carriers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.5,,7.65
2024-06-30,16.88,$2.55,6.62
2024-03-31,17.09,$2.29,7.46
2023-12-31,13.83,$2.17,6.37
2023-09-30,13.5,$2.72,4.96
2023-06-30,13.17,$4.78,2.76
2023-03-31,12.65,$5.42,2.33
2022-12-31,12.73,$6.19,2.06
2022-09-30,12.36,$7.19,1.72
2022-06-30,13.83,$4.91,2.82
2022-03-31,16.49,$5.80,2.84
2021-12-31,14.44,$5.11,2.83
2021-09-30,11.57,$3.46,3.34
2021-06-30,10.77,$3.25,3.31
2021-03-31,9.74,$1.82,5.35
2020-12-31,7.03,$1.60,4.4
2020-09-30,5.64,$1.52,3.71
2020-06-30,6.79,$1.29,5.27
2020-03-31,5.9,$1.26,4.68
2019-12-31,10.53,$-7.10,0.0
2019-09-30,8.16,$-6.84,0.0
2019-06-30,7.79,$-8.42,0.0
2019-03-31,7.55,$-8.78,0.0
2018-12-31,10.34,$-0.63,0.0
2018-09-30,13.37,$-0.98,0.0
2018-06-30,14.34,$0.98,14.63
2018-03-31,14.25,$1.54,9.26
2017-12-31,14.98,$1.89,7.93
2017-03-31,14.86,$2.38,6.25
2016-12-31,12.95,$2.38,5.44
2016-09-30,12.93,$2.45,5.28
2016-06-30,11.57,$2.59,4.47
2016-03-31,11.93,$2.52,4.73
2015-12-31,19.61,$2.59,7.57
2015-09-30,21.15,$2.59,8.17
2015-06-30,25.95,$2.59,10.02
2015-03-31,30.74,$2.24,13.73
2014-12-31,25.25,$2.17,11.64
2014-09-30,30.68,$1.82,16.86
2014-06-30,34.38,$1.05,32.76
2014-03-31,32.26,$3.01,10.72
2017-09-30,15.24,$5.32,2.86
2013-12-31,30.12,$6.93,4.35
2013-09-30,25.21,$3.22,7.83
2013-06-30,25.39,$1.40,18.14
2013-03-31,22.07,$-1.05,0.0
2012-12-31,17.05,$-3.08,0.0
2017-06-30,14.48,$1.12,12.93
2012-09-30,20.56,$0.84,24.48
2012-06-30,18.46,$10.92,1.69
2012-03-31,19.24,$13.65,1.41
2011-12-31,14.12,$13.72,1.03
2011-09-30,14.23,$14.00,1.02
2011-06-30,19.76,$4.20,4.71
2011-03-31,22.42,$2.66,8.43
2010-12-31,19.97,$3.99,5.01
2010-09-30,16.61,$5.04,3.3
2010-06-30,15.74,$6.30,2.5
2010-03-31,16.23,$7.42,2.19
2009-12-31,16.73,$8.12,2.06
