Repligen PE Ratio Historical Data,Repligen PE Ratio Historical Data,Repligen PE Ratio Historical Data,Repligen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,142.14,,0.0
2024-06-30,126.06,$-0.04,0.0
2024-03-31,183.92,$0.25,735.68
2023-12-31,179.8,$0.72,249.72
2023-09-30,159.01,$2.03,78.33
2023-06-30,141.46,$2.42,58.45
2023-03-31,168.36,$2.95,57.07
2022-12-31,169.31,$3.25,52.1
2022-09-30,187.11,$2.90,64.52
2022-06-30,162.4,$2.77,58.63
2022-03-31,188.09,$2.53,74.34
2021-12-31,264.84,$2.24,118.23
2021-09-30,288.99,$2.10,137.61
2021-06-30,199.62,$1.79,111.52
2021-03-31,194.41,$1.45,134.08
2020-12-31,191.63,$1.11,172.64
2020-09-30,147.54,$0.82,179.93
2020-06-30,123.61,$0.58,213.12
2020-03-31,96.54,$0.45,214.53
2019-12-31,92.5,$0.44,210.23
2019-09-30,76.69,$0.49,156.51
2019-06-30,85.95,$0.56,153.48
2019-03-31,59.08,$0.45,131.29
2018-12-31,52.74,$0.36,146.5
2018-09-30,55.46,$0.51,108.75
2018-06-30,47.04,$0.52,90.46
2018-03-31,36.18,$0.70,51.69
2017-12-31,36.28,$0.71,51.1
2017-09-30,38.32,$0.59,64.95
2017-06-30,41.44,$0.51,81.25
2017-03-31,35.2,$0.38,92.63
2016-12-31,30.82,$0.34,90.65
2016-09-30,30.19,$0.20,150.95
2016-06-30,27.36,$0.25,109.44
2016-03-31,26.82,$0.25,107.28
2015-12-31,28.29,$0.29,97.55
2015-09-30,27.85,$0.27,103.15
2015-06-30,41.27,$0.23,179.43
2015-03-31,30.36,$0.21,144.57
2014-12-31,19.8,$0.25,79.2
2014-09-30,19.91,$0.36,55.31
2014-06-30,22.79,$0.50,45.58
2014-03-31,12.86,$0.55,23.38
2013-12-31,13.64,$0.49,27.84
2013-09-30,11.09,$0.69,16.07
2013-06-30,8.24,$0.57,14.46
2013-03-31,6.91,$0.48,14.4
2012-12-31,6.28,$0.45,13.96
2012-09-30,5.96,$0.15,39.73
2012-06-30,4.3,$0.11,39.09
2012-03-31,5.9,$0.06,98.33
2011-12-31,3.47,$-0.04,0.0
2011-09-30,3.26,$-0.03,0.0
2011-06-30,3.64,$-0.03,0.0
2011-03-31,3.74,$0.00,0.0
2010-12-31,4.69,$0.06,78.17
2010-09-30,3.38,$0.04,84.5
2010-06-30,3.21,$-0.01,0.0
2010-03-31,4.06,$-0.08,0.0
2009-12-31,4.11,$-0.08,0.0
