Marcus & Millichap PE Ratio Historical Data,Marcus & Millichap PE Ratio Historical Data,Marcus & Millichap PE Ratio Historical Data,Marcus & Millichap PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.93,,0.0
2024-06-30,31.33,$-0.91,0.0
2024-03-31,33.96,$-1.00,0.0
2023-12-31,43.09,$-0.89,0.0
2023-09-30,28.95,$-0.42,0.0
2023-06-30,30.84,$0.35,88.13
2023-03-31,31.43,$1.62,19.4
2022-12-31,33.45,$2.58,12.97
2022-09-30,31.83,$3.91,8.14
2022-06-30,35.68,$4.22,8.46
2022-03-31,50.82,$3.96,12.83
2021-12-31,48.31,$3.52,13.72
2021-09-30,38.13,$2.58,14.78
2021-06-30,36.49,$1.89,19.31
2021-03-31,31.64,$1.11,28.5
2020-12-31,34.95,$1.07,32.66
2020-09-30,25.84,$1.00,25.84
2020-06-30,27.09,$1.34,20.22
2020-03-31,25.44,$1.88,13.53
2019-12-31,34.97,$2.21,15.82
2019-09-30,33.32,$2.22,15.01
2019-06-30,28.96,$2.29,12.65
2018-12-31,32.23,$2.21,14.58
2018-09-30,32.59,$1.77,18.41
2018-06-30,36.62,$1.64,22.33
2018-03-31,33.85,$1.47,23.03
2017-12-31,30.61,$1.41,21.71
2019-03-31,38.24,$1.50,25.49
2017-09-30,25.34,$1.54,16.45
2017-06-30,24.75,$1.54,16.07
2017-03-31,23.08,$1.59,14.51
2016-12-31,25.08,$1.66,15.11
2016-09-30,24.55,$1.73,14.19
2016-06-30,23.85,$1.73,13.79
2016-03-31,23.84,$1.73,13.78
2015-12-31,27.36,$1.70,16.09
2015-09-30,43.17,$1.61,26.82
2015-06-30,43.32,$1.57,27.59
2015-03-31,35.19,$1.45,24.27
2014-12-31,31.21,$1.27,24.58
2014-09-30,28.41,$0.63,45.09
