Tilray Brands PE Ratio Historical Data,Tilray Brands PE Ratio Historical Data,Tilray Brands PE Ratio Historical Data,Tilray Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,1.57,,0.0
2024-08-31,1.71,$-0.27,0.0
2024-05-31,1.8,$-0.33,0.0
2024-02-29,1.73,$-0.44,0.0
2023-11-30,1.81,$-2.22,0.0
2023-08-31,2.96,$-2.26,0.0
2023-05-31,1.67,$-2.29,0.0
2023-02-28,2.83,$-3.04,0.0
2022-11-30,3.87,$-1.05,0.0
2022-08-31,3.8,$-0.94,0.0
2022-05-31,4.49,$-0.89,0.0
2022-02-28,6.1,$0.19,32.11
2021-11-30,10.12,$0.10,101.2
2021-08-31,13.69,$0.10,136.9
2021-05-31,16.67,$0.16,104.19
2021-03-31,22.73,$-0.02,0.0
2020-12-31,8.26,$-0.04,0.0
2020-11-30,9.04,$-0.04,0.0
2020-09-30,4.85,$-0.02,0.0
2020-08-31,6.71,$-0.02,0.0
2020-06-30,7.11,0,0.0
2020-03-31,6.88,0,0.0
2019-12-31,17.13,0,0.0
2019-09-30,24.74,0,0.0
2019-06-30,46.56,0,0.0
2019-03-31,65.52,$-2.01,0.0
