SiriusPoint PE Ratio Historical Data,SiriusPoint PE Ratio Historical Data,SiriusPoint PE Ratio Historical Data,SiriusPoint PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.01,,7.45
2024-06-30,12.2,$1.88,6.49
2024-03-31,12.71,$1.68,7.57
2023-12-31,11.6,$1.97,5.89
2023-09-30,10.17,$1.30,7.82
2023-06-30,9.03,$0.37,24.41
2023-03-31,8.13,$-0.38,0.0
2022-12-31,5.9,$-2.52,0.0
2022-09-30,4.95,$-3.23,0.0
2022-06-30,5.42,$-2.96,0.0
2022-03-31,7.48,$-2.21,0.0
2021-12-31,8.13,$0.20,40.65
2021-09-30,9.26,$2.51,3.69
2021-06-30,10.07,$3.58,2.81
2021-03-31,10.17,$4.54,2.24
2020-12-31,9.52,$1.50,6.35
2020-09-30,6.95,$0.39,17.82
2020-06-30,7.51,$-0.50,0.0
2020-03-31,7.41,$-1.26,0.0
2019-12-31,10.52,$2.16,4.87
2019-09-30,9.99,$-1.40,0.0
2019-06-30,10.32,$-1.38,0.0
2019-03-31,10.38,$-1.76,0.0
2018-12-31,9.64,$-3.45,0.0
2018-09-30,13.0,$0.21,61.9
2018-06-30,12.5,$0.87,14.37
2018-03-31,13.95,$1.39,10.04
2017-12-31,14.65,$2.63,5.57
2017-09-30,15.6,$1.76,8.86
2017-06-30,13.9,$1.92,7.24
2017-03-31,12.1,$1.72,7.03
2016-12-31,11.55,$0.25,46.2
2016-09-30,12.0,$1.09,11.01
2016-06-30,11.72,$-1.47,0.0
2016-03-31,11.37,$-1.83,0.0
2015-12-31,13.41,$-0.87,0.0
2015-09-30,13.45,$-1.40,0.0
2015-06-30,14.75,$0.42,35.12
2015-03-31,14.15,$0.56,25.27
2014-12-31,14.49,$0.46,31.5
2014-09-30,14.55,$1.35,10.78
2014-06-30,15.26,$1.87,8.16
