Kronos Worldwide Inc PE Ratio Historical Data,Kronos Worldwide Inc PE Ratio Historical Data,Kronos Worldwide Inc PE Ratio Historical Data,Kronos Worldwide Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.35,,1235.0
2024-06-30,12.49,$0.01,1249.22
2024-03-31,11.58,$-0.23,0.0
2023-12-31,9.55,$-0.48,0.0
2023-09-30,7.29,$-0.25,0.0
2023-06-30,8.03,$0.33,24.33
2022-12-31,8.32,$0.90,9.24
2022-09-30,8.1,$1.36,5.96
2022-06-30,15.72,$1.05,14.97
2022-03-31,13.13,$0.96,13.68
2021-12-31,12.53,$0.68,18.42
2023-03-31,8.29,$0.57,14.55
2021-09-30,10.22,$0.79,12.94
2021-06-30,11.63,$0.55,21.15
2021-03-31,12.3,$0.49,25.09
2020-12-31,11.84,$0.55,21.53
2020-09-30,10.08,$0.54,18.67
2020-06-30,8.04,$0.63,12.77
2020-03-31,6.42,$0.72,8.91
2019-12-31,10.0,$0.75,13.34
2019-09-30,9.11,$0.88,10.36
2019-06-30,11.1,$1.00,11.1
2019-03-31,10.02,$1.42,7.06
2018-12-31,8.14,$1.77,4.6
2018-09-30,11.33,$1.97,5.75
2018-06-30,15.58,$2.33,6.69
2018-03-31,15.52,$3.36,4.62
2017-12-31,17.56,$3.07,5.72
2017-09-30,15.48,$2.86,5.41
2017-06-30,12.26,$2.41,5.09
2017-03-31,10.97,$0.72,15.23
2016-12-31,7.88,$0.22,35.84
2016-09-30,5.41,$-0.08,0.0
2016-06-30,3.37,$-1.65,0.0
2015-12-31,3.45,$-1.50,0.0
2015-09-30,3.7,$-1.15,0.0
2015-06-30,6.4,$-1.08,0.0
2015-03-31,7.29,$0.58,12.58
2014-12-31,7.42,$0.71,10.44
2016-03-31,3.58,$0.66,5.42
2014-09-30,7.75,$0.72,10.77
2014-06-30,8.73,$0.18,48.53
2014-03-31,9.2,$-0.40,0.0
2013-12-31,10.41,$-0.87,0.0
2013-09-30,8.38,$-1.05,0.0
2013-06-30,8.7,$-0.49,0.0
2013-03-31,8.3,$0.36,23.07
2012-12-31,10.26,$1.89,5.43
2012-09-30,7.79,$2.78,2.8
2012-06-30,8.16,$3.22,2.53
2012-03-31,12.78,$3.43,3.72
2011-12-31,9.18,$2.77,3.31
2011-09-30,8.12,$2.36,3.44
2011-06-30,15.77,$1.95,8.09
2011-03-31,14.58,$1.38,10.6
2010-12-31,10.34,$1.29,8.02
2010-09-30,9.64,$1.02,9.5
2010-06-30,4.72,$0.77,6.13
2010-03-31,3.54,$0.35,10.13
2009-12-31,3.93,$-0.36,0.0
