Axis Capital Holdings PE Ratio Historical Data,Axis Capital Holdings PE Ratio Historical Data,Axis Capital Holdings PE Ratio Historical Data,Axis Capital Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,82.8,,11.39
2024-06-30,70.26,$7.27,9.66
2024-03-31,64.26,$6.54,9.83
2023-12-31,54.33,$4.02,13.52
2023-09-30,54.88,$6.26,8.77
2023-06-30,52.0,$3.96,13.13
2023-03-31,52.23,$2.61,20.01
2022-12-31,51.48,$2.25,22.88
2022-09-30,46.33,$4.08,11.36
2022-06-30,53.35,$4.84,11.02
2022-03-31,56.08,$7.19,7.8
2021-12-31,50.16,$6.90,7.27
2021-09-30,41.68,$4.53,9.2
2021-06-30,44.37,$3.10,14.31
2021-03-31,44.5,$1.76,25.28
2020-12-31,44.86,$-1.80,0.0
2020-09-30,38.52,$-1.86,0.0
2020-06-30,35.48,$-0.66,0.0
2020-03-31,33.46,$-0.02,0.0
2019-12-31,50.92,$3.34,15.25
2019-09-30,56.42,$1.09,51.76
2019-06-30,50.44,$1.28,39.41
2019-03-31,46.01,$0.42,109.54
2018-12-31,43.06,$0.01,0.0
2018-09-30,47.42,$1.92,24.7
2018-06-30,45.71,$-4.21,0.0
2018-03-31,46.98,$-4.31,0.0
2017-12-31,40.74,$-5.00,0.0
2017-09-30,45.79,$-3.06,0.0
2017-06-30,51.66,$4.51,11.45
2017-03-31,53.24,$4.79,11.11
2016-12-31,51.55,$5.14,10.03
2016-09-30,42.66,$5.05,8.45
2016-06-30,42.91,$5.59,7.68
2016-03-31,42.98,$4.93,8.72
2015-12-31,43.29,$6.06,7.14
2015-09-30,41.11,$6.27,6.56
2015-06-30,40.63,$6.45,6.3
2015-03-31,39.05,$7.61,5.13
2014-12-31,38.46,$7.31,5.26
2014-09-30,35.43,$7.23,4.9
2014-06-30,32.96,$5.76,5.72
2014-03-31,33.92,$4.59,7.39
2013-12-31,34.99,$5.90,5.93
2013-09-30,31.67,$4.22,7.51
2013-06-30,33.29,$4.83,6.89
2013-03-31,30.1,$5.56,5.41
2012-12-31,24.9,$3.97,6.27
2012-09-30,24.92,$4.76,5.23
2012-06-30,23.07,$4.60,5.01
2012-03-31,23.33,$4.04,5.78
2011-12-31,22.32,$-0.31,0.0
2011-09-30,17.98,$1.05,17.13
2011-06-30,21.27,$1.17,18.18
2011-03-31,23.82,$1.89,12.6
2010-12-31,24.3,$6.07,4.0
2010-09-30,22.17,$5.95,3.73
2010-06-30,19.88,$3.47,5.73
2010-03-31,20.77,$3.02,6.88
2009-12-31,18.75,$3.01,6.23
