Dolby Laboratories PE Ratio Historical Data,Dolby Laboratories PE Ratio Historical Data,Dolby Laboratories PE Ratio Historical Data,Dolby Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,74.06,,33.82
2024-06-30,78.9,$2.19,36.03
2024-03-31,83.12,$1.96,42.41
2023-12-31,85.19,$1.93,44.14
2023-09-30,78.08,$2.06,37.9
2023-06-30,82.14,$2.25,36.51
2023-03-31,83.58,$2.47,33.84
2022-12-31,68.8,$1.85,37.19
2022-09-30,63.31,$1.80,35.17
2022-06-30,69.31,$1.94,35.73
2022-03-31,75.51,$2.07,36.48
2021-12-31,91.62,$2.44,37.55
2021-09-30,84.43,$2.97,28.43
2021-06-30,94.09,$2.81,33.48
2021-03-31,94.28,$2.95,31.96
2020-12-31,92.54,$3.08,30.05
2020-09-30,62.99,$2.25,28.0
2020-06-30,62.4,$2.42,25.79
2020-03-31,51.15,$2.14,23.9
2019-12-31,64.71,$1.98,32.68
2019-09-30,60.61,$1.98,30.61
2019-06-30,60.38,$2.33,25.91
2019-03-31,58.68,$2.61,22.48
2018-09-30,64.82,$1.11,58.4
2018-06-30,57.01,$0.85,67.07
2018-03-31,58.59,$1.00,58.59
2017-12-31,57.0,$1.07,53.27
2017-09-30,52.74,$2.36,22.35
2018-12-31,57.45,$2.66,21.6
2017-06-30,44.77,$1.96,22.84
2017-03-31,47.8,$1.85,25.84
2016-12-31,41.09,$1.79,22.96
2016-09-30,49.22,$1.62,30.38
2016-06-30,43.27,$1.95,22.19
2015-09-30,29.21,$1.73,16.88
2015-06-30,35.45,$1.74,20.37
2015-03-31,34.01,$1.70,20.01
2014-12-31,38.33,$1.52,25.22
2014-09-30,37.06,$1.85,20.03
2015-12-31,30.25,$1.84,16.44
2014-06-30,38.31,$1.98,19.35
2014-03-31,39.46,$1.89,20.88
2013-12-31,34.19,$1.82,18.79
2013-09-30,30.6,$1.99,15.38
2013-06-30,29.66,$2.05,14.47
2016-03-31,39.2,$2.25,17.42
2013-03-31,29.76,$2.07,14.38
2012-12-31,26.01,$2.19,11.88
2012-09-30,25.74,$2.40,10.73
2012-06-30,32.46,$2.46,13.2
2012-03-31,29.92,$2.70,11.08
2011-09-30,21.57,$2.74,7.87
2011-06-30,33.38,$2.60,12.84
2011-03-31,38.68,$2.72,14.22
2010-12-31,52.43,$2.55,20.56
2010-09-30,44.66,$2.53,17.65
2011-12-31,23.98,$2.55,9.4
2010-06-30,49.28,$2.26,21.8
2010-03-31,46.12,$2.15,21.45
2009-12-31,37.52,$2.01,18.67
