Red Rock Resorts PE Ratio Historical Data,Red Rock Resorts PE Ratio Historical Data,Red Rock Resorts PE Ratio Historical Data,Red Rock Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,52.59,,18.65
2024-06-30,54.93,$2.82,19.48
2024-03-31,59.82,$2.88,20.77
2023-12-31,53.33,$2.95,18.08
2023-09-30,41.0,$3.49,11.75
2023-06-30,46.78,$3.72,12.58
2023-03-31,44.57,$3.33,13.38
2022-12-31,40.01,$3.35,11.94
2022-09-30,34.26,$3.16,10.84
2022-06-30,33.14,$3.26,10.17
2022-03-31,47.9,$4.12,11.63
2021-12-31,53.95,$2.43,22.2
2021-09-30,47.27,$1.52,31.1
2021-06-30,39.22,$1.15,34.11
2021-03-31,30.08,$-0.98,0.0
2020-12-31,23.11,$-2.24,0.0
2020-09-30,15.78,$-2.58,0.0
2020-06-30,10.07,$-3.36,0.0
2020-03-31,7.89,$-2.41,0.0
2019-12-31,21.83,$-0.07,0.0
2019-09-30,18.43,$-0.01,0.0
2019-06-30,19.41,$0.41,47.35
2019-03-31,23.26,$1.29,18.03
2018-12-31,18.21,$1.78,10.23
2018-09-30,23.79,$2.02,11.77
2018-06-30,29.8,$1.98,15.05
2018-03-31,26.04,$0.77,33.82
2017-12-31,30.01,$0.42,71.45
2017-09-30,20.6,$0.44,46.82
2017-06-30,20.95,$0.48,43.64
2017-03-31,19.73,$0.88,22.42
