Elanco Animal Health PE Ratio Historical Data,Elanco Animal Health PE Ratio Historical Data,Elanco Animal Health PE Ratio Historical Data,Elanco Animal Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.83,,0.0
2024-06-30,14.43,$-2.55,0.0
2024-03-31,16.28,$-2.65,0.0
2023-12-31,14.9,$-2.50,0.0
2023-09-30,11.24,$-2.32,0.0
2023-06-30,10.06,$-0.20,0.0
2023-03-31,9.4,$-0.04,0.0
2022-12-31,12.22,$-0.15,0.0
2022-09-30,12.41,$-0.24,0.0
2022-06-30,19.63,$-0.35,0.0
2022-03-31,26.09,$-0.74,0.0
2021-12-31,28.38,$-0.96,0.0
2021-09-30,31.89,$-1.42,0.0
2021-06-30,34.69,$-1.50,0.0
2021-03-31,29.45,$-1.20,0.0
2020-12-31,30.67,$-1.20,0.0
2020-09-30,27.93,$-0.57,0.0
2020-06-30,21.45,$-0.25,0.0
2020-03-31,22.39,$-0.02,0.0
2019-12-31,29.45,$0.19,155.0
2019-09-30,26.59,$0.26,102.27
2019-06-30,33.8,$0.39,86.67
