Geo Group Inc PE Ratio Historical Data,Geo Group Inc PE Ratio Historical Data,Geo Group Inc PE Ratio Historical Data,Geo Group Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.15,,52.24
2024-06-30,14.36,$0.29,49.52
2024-03-31,14.12,$0.82,17.22
2023-12-31,10.83,$0.94,11.52
2023-03-31,7.89,$1.10,7.17
2022-12-31,10.95,$1.17,9.36
2022-09-30,7.7,$0.48,16.04
2022-06-30,6.6,$0.46,14.35
2022-03-31,6.61,$0.38,17.39
2021-12-31,7.75,$0.53,14.62
2021-09-30,7.47,$1.03,7.25
2021-06-30,7.12,$1.12,6.36
2021-03-31,7.76,$0.99,7.84
2020-12-31,8.6,$0.89,9.67
2020-09-30,10.68,$1.01,10.57
2023-09-30,8.18,$1.00,8.18
2020-06-30,10.7,$1.23,8.7
2020-03-31,10.6,$1.27,8.34
2019-12-31,14.09,$1.40,10.06
2019-09-30,14.27,$1.36,10.49
2019-06-30,16.84,$1.30,12.95
2019-03-31,15.02,$1.26,11.92
2018-12-31,15.09,$1.21,12.47
2018-09-30,18.91,$1.23,15.37
2018-06-30,20.33,$1.21,16.8
2018-03-31,14.79,$1.15,12.86
2017-12-31,16.66,$1.21,13.76
2017-09-30,18.65,$1.35,13.81
2017-06-30,20.18,$1.43,14.08
2017-03-31,20.8,$1.39,14.96
2016-12-31,15.87,$1.33,11.9
2016-09-30,10.22,$1.29,7.94
2016-06-30,14.41,$1.24,11.62
2016-03-31,14.33,$1.29,11.14
2015-12-31,11.66,$1.19,9.77
2015-09-30,11.72,$1.06,11.06
2015-06-30,13.23,$1.06,12.48
2023-06-30,7.16,$1.17,6.14
2015-03-31,16.65,$1.33,12.55
2014-12-31,15.15,$1.33,11.42
2014-09-30,14.12,$1.23,11.45
2014-06-30,13.0,$1.15,11.28
2014-03-31,11.54,$1.11,10.36
2013-12-31,11.33,$1.07,10.56
2013-09-30,11.5,$1.70,6.77
2013-06-30,11.57,$1.59,7.29
2013-03-31,12.65,$1.51,8.36
2012-12-31,9.34,$1.46,6.4
2012-09-30,7.6,$0.78,9.74
2012-06-30,6.19,$0.84,7.37
2012-03-31,5.18,$0.81,6.37
2011-12-31,4.57,$0.82,5.57
2011-09-30,5.06,$0.86,5.88
2011-06-30,6.28,$0.69,9.05
2011-03-31,6.99,$0.71,9.89
2010-12-31,6.72,$0.76,8.84
2010-09-30,6.36,$0.72,8.84
2010-06-30,5.66,$0.91,6.24
2010-03-31,5.4,$0.89,6.05
2009-12-31,5.96,$0.85,6.99
