CACI PE Ratio Historical Data,CACI PE Ratio Historical Data,CACI PE Ratio Historical Data,CACI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,529.64,,28.46
2024-06-30,430.13,$18.61,23.11
2024-03-31,378.83,$17.31,21.89
2023-12-31,323.86,$16.51,19.62
2023-09-30,313.93,$16.45,19.08
2023-06-30,340.84,$16.45,20.72
2023-03-31,296.28,$15.70,18.87
2022-12-31,300.59,$15.41,19.51
2022-09-30,261.06,$15.56,16.78
2022-06-30,281.78,$15.50,18.18
2022-03-31,301.26,$17.31,17.4
2021-12-31,269.21,$18.05,14.91
2021-09-30,262.1,$18.40,14.24
2021-06-30,255.12,$18.37,13.89
2021-03-31,246.66,$16.31,15.12
2020-12-31,249.33,$14.69,16.97
2020-09-30,213.16,$13.62,15.65
2020-06-30,216.88,$12.61,17.2
2020-03-31,211.15,$10.89,19.39
2019-12-31,249.99,$10.42,23.99
2019-09-30,231.26,$10.02,23.08
2019-06-30,204.59,$10.46,19.56
2019-03-31,182.02,$10.55,17.25
2018-12-31,144.03,$10.42,13.82
2018-09-30,184.15,$13.37,13.77
2018-06-30,168.55,$11.94,14.12
2018-03-31,151.35,$11.65,12.99
2017-12-31,132.35,$10.70,12.37
2017-09-30,139.35,$6.73,20.71
2017-06-30,125.05,$6.53,19.15
2017-03-31,117.3,$6.52,17.99
2016-12-31,124.3,$6.29,19.76
2016-09-30,100.9,$5.83,17.31
2016-06-30,90.41,$6.04,14.97
2016-03-31,106.7,$5.47,19.51
2015-12-31,92.78,$5.10,18.19
2015-06-30,80.89,$5.16,15.68
2015-03-31,89.92,$4.97,18.09
2014-12-31,86.18,$5.16,16.7
2014-09-30,71.27,$5.34,13.35
2014-06-30,70.21,$5.43,12.93
2015-09-30,73.97,$5.27,14.04
2014-03-31,73.8,$5.46,13.52
2013-12-31,73.22,$5.89,12.43
2013-09-30,69.11,$6.20,11.15
2013-06-30,63.49,$6.36,9.98
2013-03-31,57.87,$6.39,9.06
2012-12-31,55.03,$6.22,8.85
2012-09-30,51.79,$6.04,8.57
2012-06-30,55.02,$5.96,9.23
2012-03-31,62.29,$5.81,10.72
2011-12-31,55.92,$5.52,10.13
2011-09-30,49.94,$5.09,9.81
2011-06-30,63.08,$4.60,13.71
2011-03-31,61.32,$4.12,14.88
2010-12-31,53.4,$3.83,13.94
2010-09-30,45.26,$3.60,12.57
2010-06-30,42.48,$3.46,12.28
2010-03-31,48.85,$3.45,14.16
2009-12-31,48.85,$3.35,14.58
