Comfort Systems USA PE Ratio Historical Data,Comfort Systems USA PE Ratio Historical Data,Comfort Systems USA PE Ratio Historical Data,Comfort Systems USA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,419.11,,35.19
2024-06-30,303.83,$11.91,25.51
2024-03-31,317.13,$10.10,31.4
2023-12-31,205.13,$9.00,22.79
2023-09-30,169.75,$7.99,21.25
2023-06-30,163.36,$6.77,24.13
2023-03-31,145.02,$6.01,24.13
2022-12-31,114.2,$6.82,16.75
2022-09-30,96.47,$6.32,15.26
2022-06-30,82.31,$5.88,14.0
2022-03-31,87.96,$5.61,15.68
2021-12-31,97.63,$3.94,24.78
2021-09-30,70.28,$4.07,17.27
2021-06-30,77.53,$4.16,18.64
2021-03-31,73.47,$4.34,16.93
2020-12-31,51.66,$4.09,12.63
2020-09-30,50.42,$3.84,13.13
2020-06-30,39.81,$3.46,11.5
2020-03-31,35.58,$3.03,11.74
2019-12-31,48.4,$3.08,15.72
2019-09-30,42.86,$2.83,15.15
2019-06-30,49.29,$2.87,17.17
2019-03-31,50.54,$3.09,16.36
2018-12-31,42.06,$3.00,14.02
2018-09-30,54.23,$2.53,21.43
2018-06-30,43.97,$2.10,20.94
2018-03-31,39.53,$1.71,23.12
2017-12-31,41.76,$1.47,28.41
2017-09-30,34.09,$1.72,19.82
2017-06-30,35.35,$1.67,21.17
2017-03-31,34.84,$1.66,20.99
2016-12-31,31.6,$1.72,18.37
2016-09-30,27.74,$1.62,17.13
2016-06-30,30.75,$1.54,19.97
2016-03-31,29.93,$1.42,21.08
2015-12-31,26.72,$1.29,20.71
2015-09-30,25.57,$1.23,20.79
2015-06-30,21.48,$0.97,22.15
2015-03-31,19.64,$0.74,26.54
2014-12-31,15.93,$0.62,25.69
2014-09-30,12.56,$0.48,26.16
2014-06-30,14.59,$0.58,25.15
2014-03-31,14.02,$0.67,20.93
2013-12-31,17.78,$0.73,24.36
2013-09-30,15.37,$0.70,21.96
2013-06-30,13.6,$0.55,24.72
2013-03-31,12.79,$0.46,27.81
2012-12-31,11.0,$0.36,30.54
2012-09-30,9.84,$0.29,33.91
2012-06-30,8.97,$-0.84,0.0
2012-03-31,9.72,$-0.88,0.0
2011-12-31,9.51,$-0.99,0.0
2011-09-30,7.34,$-0.89,0.0
2011-06-30,9.31,$0.23,40.46
2011-03-31,12.28,$0.19,64.64
2010-12-31,11.45,$0.38,30.14
2010-09-30,9.29,$0.43,21.61
2010-06-30,8.33,$0.54,15.42
2010-03-31,10.71,$0.76,14.1
2009-12-31,10.54,$0.89,11.84
