Teleflex PE Ratio Historical Data,Teleflex PE Ratio Historical Data,Teleflex PE Ratio Historical Data,Teleflex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,245.17,,44.02
2024-06-30,210.03,$5.57,37.71
2024-03-31,225.49,$6.23,36.19
2023-12-31,248.21,$7.53,32.96
2023-09-30,195.2,$8.53,22.88
2023-06-30,240.18,$7.79,30.83
2023-03-31,251.03,$7.67,32.73
2022-12-31,247.03,$7.68,32.17
2022-09-30,199.04,$8.72,22.83
2022-06-30,242.58,$10.76,22.54
2022-03-31,349.68,$10.29,33.98
2021-12-31,323.4,$10.24,31.58
2021-09-30,370.35,$9.15,40.48
2021-06-30,394.81,$7.41,53.28
2021-03-31,407.89,$5.89,69.25
2020-12-31,403.72,$7.09,56.94
2020-09-30,333.61,$7.77,42.94
2020-06-30,356.38,$10.16,35.08
2020-03-31,286.45,$11.69,24.5
2019-12-31,367.83,$9.78,37.61
2019-09-30,331.65,$9.42,35.21
2019-06-30,322.96,$5.78,55.87
2019-03-31,294.35,$3.96,74.33
2018-12-31,251.5,$4.29,58.62
2018-09-30,258.56,$1.45,178.32
2018-06-30,260.24,$1.89,137.69
2018-03-31,247.09,$3.61,68.44
2017-12-31,240.78,$3.27,73.63
2017-09-30,233.84,$5.48,42.67
2017-06-30,200.45,$5.23,38.33
2017-03-31,186.58,$4.82,38.71
2016-12-31,154.94,$5.00,30.99
2016-09-30,161.19,$5.79,27.84
2016-06-30,169.75,$5.64,30.1
2016-03-31,150.0,$5.31,28.25
2015-12-31,125.29,$5.08,24.66
2015-09-30,118.09,$4.06,29.09
2015-06-30,128.44,$3.99,32.19
2015-03-31,114.27,$4.08,28.01
2014-12-31,108.28,$4.03,26.87
2014-09-30,98.77,$3.73,26.48
2014-06-30,98.97,$3.63,27.27
2014-03-31,100.19,$3.59,27.91
2013-12-31,87.4,$3.46,25.26
2013-09-30,76.34,$3.39,22.52
2013-06-30,71.58,$2.83,25.29
2013-03-31,77.74,$2.89,26.9
2012-12-31,65.32,$-4.70,0.0
2012-09-30,62.74,$-1.30,0.0
2012-06-30,55.21,$-0.75,0.0
2012-03-31,55.12,$-0.96,0.0
2011-12-31,54.93,$7.92,6.94
2011-09-30,47.91,$5.83,8.22
2011-06-30,54.05,$5.31,10.18
2011-03-31,51.05,$5.97,8.55
2010-12-31,47.1,$4.99,9.44
2010-09-30,49.39,$4.05,12.2
2010-06-30,46.91,$4.46,10.52
2010-03-31,55.06,$3.13,17.59
2009-12-31,46.06,$7.60,6.06
