Mesoblast PE Ratio Historical Data,Mesoblast PE Ratio Historical Data,Mesoblast PE Ratio Historical Data,Mesoblast PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.93,,0.0
2023-12-31,8.8,$-0.88,0.0
2023-06-30,31.28,$-1.12,0.0
2023-03-31,26.32,$-1.18,0.0
2022-12-31,23.28,$-1.24,0.0
2022-09-30,20.36,$-1.30,0.0
2022-06-30,17.76,$-1.40,0.0
2022-03-31,33.76,$-1.40,0.0
2021-12-31,38.4,$-1.52,0.0
2021-09-30,48.08,$-1.56,0.0
2021-06-30,59.84,$-1.64,0.0
2021-03-31,66.16,$-1.90,0.0
2020-12-31,67.92,$-1.74,0.0
2020-09-30,148.68,$-1.76,0.0
2020-06-30,91.12,$-1.46,0.0
2020-03-31,35.04,$-1.28,0.0
2019-12-31,58.96,$-1.50,0.0
2019-09-30,55.44,$-1.54,0.0
2019-06-30,42.48,$-1.82,0.0
2019-03-31,42.0,$-1.84,0.0
2018-12-31,32.96,$-1.78,0.0
2018-09-30,65.28,$-0.98,0.0
2018-06-30,44.0,$-0.74,0.0
2018-03-31,46.24,$-0.94,0.0
2017-12-31,46.72,$-0.74,0.0
2017-09-30,43.84,$-1.56,0.0
2017-06-30,63.6,$-1.92,0.0
2017-03-31,71.84,0,0.0
2016-12-31,42.8,$-0.20,0.0
2016-09-30,34.48,$-0.30,0.0
