Sealed Air PE Ratio Historical Data,Sealed Air PE Ratio Historical Data,Sealed Air PE Ratio Historical Data,Sealed Air PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.67,,14.79
2024-06-30,34.58,$2.48,13.94
2024-03-31,36.78,$2.49,14.77
2023-12-31,35.9,$2.36,15.21
2023-09-30,32.11,$2.15,14.94
2023-06-30,38.86,$2.68,14.5
2023-03-31,44.37,$2.77,16.02
2022-12-31,48.01,$3.34,14.37
2022-09-30,42.68,$3.89,10.97
2022-06-30,55.14,$3.68,14.98
2022-03-31,63.76,$3.62,17.61
2021-12-31,64.04,$3.33,19.23
2021-09-30,51.84,$3.04,17.05
2021-06-30,55.88,$3.19,17.52
2021-03-31,43.07,$3.12,13.8
2020-12-31,42.88,$3.23,13.28
2020-09-30,36.21,$2.99,12.11
2020-06-30,30.53,$2.57,11.88
2020-03-31,22.86,$2.14,10.68
2019-12-31,36.64,$1.69,21.68
2019-09-30,38.03,$2.30,16.53
2019-06-30,39.03,$2.36,16.54
2019-03-31,41.88,$2.86,14.64
2018-12-31,31.56,$1.28,24.66
2018-09-30,36.21,$-0.19,0.0
2018-06-30,38.13,$3.46,11.02
2018-03-31,38.3,$3.20,11.97
2017-12-31,43.95,$4.19,10.49
2017-09-30,37.96,$5.25,7.23
2017-06-30,39.63,$1.93,20.53
2017-03-31,38.45,$1.73,22.22
2016-12-31,39.86,$2.41,16.54
2016-09-30,40.15,$2.16,18.59
2016-06-30,40.14,$1.75,22.94
2016-03-31,41.78,$1.63,25.63
2015-12-31,38.7,$1.63,23.74
2015-09-30,40.56,$1.32,30.73
2015-06-30,44.34,$1.18,37.58
2015-03-31,39.22,$1.33,29.49
2014-12-31,36.42,$1.20,30.35
2014-09-30,29.84,$1.02,29.26
2014-06-30,29.13,$0.92,31.66
2014-03-31,27.91,$0.90,31.01
2013-12-31,28.8,$0.58,49.66
2013-09-30,22.91,$1.34,17.09
2013-06-30,20.09,$-4.87,0.0
2013-03-31,20.11,$-5.20,0.0
2012-12-31,14.52,$-5.24,0.0
2012-09-30,12.72,$-6.39,0.0
2012-06-30,12.59,$0.05,251.87
2012-03-31,15.62,$0.49,31.88
2011-12-31,13.83,$0.86,16.08
2011-09-30,13.32,$1.41,9.45
2011-06-30,18.85,$1.43,13.18
2011-03-31,21.0,$1.44,14.59
2010-12-31,19.95,$1.47,13.57
2010-09-30,17.53,$1.52,11.53
2010-06-30,15.28,$1.42,10.76
2009-12-31,16.74,$1.36,12.31
2009-09-30,14.96,$1.34,11.16
