Catalyst Pharmaceuticals PE Ratio Historical Data,Catalyst Pharmaceuticals PE Ratio Historical Data,Catalyst Pharmaceuticals PE Ratio Historical Data,Catalyst Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.16,,39.19
2024-06-30,15.49,$0.54,28.69
2024-03-31,15.94,$0.54,29.52
2023-12-31,16.81,$0.61,27.56
2023-09-30,11.69,$0.52,22.48
2023-06-30,13.44,$1.01,13.31
2023-03-31,16.58,$0.88,18.84
2022-12-31,18.6,$0.74,25.14
2022-09-30,12.83,$0.61,21.03
2022-06-30,7.01,$0.51,13.75
2022-03-31,8.29,$0.42,19.74
2021-12-31,6.77,$0.37,18.3
2021-09-30,5.3,$0.39,13.59
2021-06-30,5.75,$0.70,8.21
2021-03-31,4.61,$0.68,6.78
2020-12-31,3.34,$0.71,4.7
2020-09-30,2.97,$0.67,4.43
2020-06-30,4.62,$0.39,11.85
2020-03-31,3.85,$0.40,9.63
2019-12-31,3.75,$0.29,12.93
2019-09-30,5.31,$0.08,66.38
2019-06-30,3.84,$-0.13,0.0
2019-03-31,5.1,$-0.29,0.0
2018-12-31,1.92,$-0.34,0.0
2018-09-30,3.78,$-0.26,0.0
2018-06-30,3.12,$-0.23,0.0
2018-03-31,2.39,$-0.22,0.0
2017-12-31,3.91,$-0.22,0.0
2017-09-30,2.52,$-0.21,0.0
2017-06-30,2.76,$-0.21,0.0
2017-03-31,1.95,$-0.22,0.0
2016-12-31,1.05,$-0.23,0.0
2016-09-30,1.09,$-0.25,0.0
2016-06-30,0.71,$-0.25,0.0
2016-03-31,1.17,$-0.25,0.0
2015-12-31,2.45,$-0.25,0.0
2015-09-30,3.0,$-0.23,0.0
2015-06-30,4.13,$-0.25,0.0
2015-03-31,4.33,$-0.24,0.0
2014-12-31,2.97,$-0.24,0.0
2014-09-30,3.32,$-0.22,0.0
2014-06-30,2.53,$-0.28,0.0
2014-03-31,2.26,$-0.31,0.0
2013-12-31,1.95,$-0.28,0.0
2013-09-30,3.05,$-0.25,0.0
2013-06-30,0.9,$-0.20,0.0
2013-03-31,0.49,$-0.13,0.0
2012-12-31,0.44,$-0.13,0.0
2012-09-30,1.51,$-0.23,0.0
2012-06-30,0.53,$-0.20,0.0
2012-03-31,1.11,$-0.25,0.0
2011-12-31,1.29,$-0.29,0.0
2011-09-30,1.49,$-0.23,0.0
2011-06-30,1.88,$-0.23,0.0
2011-03-31,1.12,$-0.24,0.0
2010-12-31,0.99,$-0.22,0.0
2010-09-30,1.12,$-0.24,0.0
2010-06-30,0.99,$-0.28,0.0
2010-03-31,0.8,$-0.43,0.0
2009-12-31,0.63,$-0.50,0.0
