PAR Technology PE Ratio Historical Data,PAR Technology PE Ratio Historical Data,PAR Technology PE Ratio Historical Data,PAR Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,60.97,,0.0
2024-06-30,47.09,$-0.25,0.0
2024-03-31,45.36,$-2.57,0.0
2023-12-31,43.54,$-2.53,0.0
2023-09-30,38.54,$-2.36,0.0
2023-06-30,32.93,$-2.59,0.0
2023-03-31,33.96,$-2.57,0.0
2022-12-31,26.07,$-2.57,0.0
2022-09-30,29.53,$-3.02,0.0
2022-06-30,37.49,$-3.46,0.0
2022-03-31,40.34,$-3.15,0.0
2021-12-31,52.77,$-2.95,0.0
2021-09-30,61.51,$-2.60,0.0
2021-06-30,69.94,$-1.57,0.0
2021-03-31,65.41,$-1.67,0.0
2020-12-31,62.79,$-1.90,0.0
2020-09-30,40.51,$-1.65,0.0
2020-06-30,29.93,$-1.81,0.0
2020-03-31,12.86,$-1.49,0.0
2019-12-31,30.74,$-1.26,0.0
2019-09-30,23.77,$-1.95,0.0
2019-03-31,24.14,$-1.67,0.0
2018-12-31,21.47,$-1.50,0.0
2018-09-30,21.93,$-1.45,0.0
2018-06-30,17.45,$-0.51,0.0
2018-03-31,13.91,$-0.31,0.0
2017-12-31,9.23,$-0.22,0.0
2017-09-30,10.3,$0.22,46.84
2017-06-30,8.4,$0.35,24.0
2017-03-31,7.08,$0.23,30.77
2016-12-31,5.51,$0.14,39.34
2016-09-30,5.29,$0.09,58.82
2016-06-30,4.73,$-0.04,0.0
2016-03-31,6.54,$-0.03,0.0
2015-12-31,6.64,$-0.05,0.0
2015-09-30,5.22,$-0.24,0.0
2015-06-30,4.85,$-0.15,0.0
2015-03-31,4.14,$-0.19,0.0
2014-12-31,6.07,$-0.23,0.0
2014-09-30,4.84,$-0.08,0.0
2014-06-30,4.15,$-0.04,0.0
2014-03-31,4.83,$-0.01,0.0
2013-12-31,5.38,$0.02,268.97
2013-09-30,4.88,$-0.24,0.0
2013-06-30,3.98,$-0.18,0.0
2013-03-31,4.65,$-0.21,0.0
2012-12-31,4.84,$-0.02,0.0
2012-09-30,5.38,$0.27,19.92
2012-06-30,4.87,$0.26,18.72
2012-03-31,4.85,$-0.90,0.0
2011-12-31,3.89,$-1.13,0.0
2011-09-30,3.31,$-1.15,0.0
2011-06-30,3.78,$-1.15,0.0
2019-06-30,27.83,$0.08,347.93
2011-03-31,4.5,$0.21,21.43
2010-12-31,5.64,$0.22,25.62
2010-09-30,6.07,$-0.19,0.0
2010-06-30,5.07,$-0.28,0.0
2010-03-31,5.97,$-0.32,0.0
2009-12-31,5.71,$-0.34,0.0
