Silgan Holdings PE Ratio Historical Data,Silgan Holdings PE Ratio Historical Data,Silgan Holdings PE Ratio Historical Data,Silgan Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.72,,18.15
2024-06-30,42.17,$2.85,14.8
2024-03-31,48.38,$2.85,16.98
2023-12-31,44.89,$2.98,15.06
2023-09-30,42.58,$2.60,16.38
2023-06-30,46.13,$2.83,16.3
2023-03-31,52.59,$2.95,17.83
2022-12-31,50.62,$3.06,16.54
2022-09-30,40.93,$3.60,11.37
2022-06-30,40.12,$3.31,12.12
2022-03-31,44.69,$3.33,13.42
2021-12-31,41.26,$3.11,13.27
2021-09-30,36.82,$3.36,10.96
2021-06-30,39.71,$3.10,12.81
2020-12-31,35.25,$2.77,12.72
2020-09-30,34.83,$2.54,13.71
2020-06-30,30.58,$2.19,13.96
2020-03-31,27.3,$2.22,12.3
2019-12-31,29.11,$1.98,14.7
2021-03-31,40.08,$2.09,19.18
2019-09-30,28.03,$1.77,15.84
2019-06-30,28.45,$1.80,15.81
2019-03-31,27.45,$2.02,13.59
2018-12-31,21.8,$2.01,10.84
2018-09-30,25.55,$2.98,8.58
2018-06-30,24.57,$2.87,8.56
2018-03-31,25.41,$2.62,9.7
2017-12-31,26.73,$2.42,11.04
2017-09-30,26.68,$1.32,20.29
2017-06-30,28.72,$1.24,23.16
2017-03-31,26.75,$1.27,21.14
2016-12-31,22.99,$1.28,18.03
2016-09-30,22.65,$1.29,17.56
2016-06-30,22.96,$1.30,17.73
2016-03-31,23.65,$1.37,17.26
2015-12-31,23.81,$1.42,16.83
2015-09-30,23.0,$1.38,16.67
2015-06-30,23.25,$1.46,15.98
2015-03-31,25.54,$1.45,17.61
2014-12-31,23.48,$1.43,16.42
2014-09-30,20.53,$1.43,14.41
2014-06-30,22.13,$1.38,16.09
2014-03-31,21.5,$1.50,14.38
2013-12-31,20.78,$1.44,14.43
2013-09-30,20.28,$1.47,13.8
2013-06-30,20.2,$1.43,14.13
2013-03-31,20.28,$1.04,19.5
2012-12-31,17.76,$1.09,16.37
2012-09-30,18.56,$1.14,16.28
2012-06-30,18.15,$1.14,16.0
2012-03-31,18.74,$1.43,13.15
2011-12-31,16.34,$1.38,11.88
2011-09-30,15.49,$1.22,12.7
2011-06-30,17.22,$1.08,15.95
2011-03-31,16.0,$0.95,16.84
2010-12-31,14.97,$0.94,15.97
2010-09-30,13.21,$0.98,13.45
2010-06-30,11.79,$1.04,11.33
2010-03-31,12.46,$1.03,12.16
2009-12-31,11.93,$1.03,11.56
