HUTCHMED (China) PE Ratio Historical Data,HUTCHMED (China) PE Ratio Historical Data,HUTCHMED (China) PE Ratio Historical Data,HUTCHMED (China) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.42,,inf
2024-06-30,17.12,0.0,0.0
2023-12-31,18.11,0.0,0.0
2023-06-30,12.0,0.0,0.0
2022-12-31,14.78,0.0,0.0
2022-06-30,12.64,0.0,0.0
2021-12-31,35.08,0.0,0.0
2021-06-30,39.27,0.0,0.0
2020-12-31,32.02,0.0,0.0
2020-06-30,27.58,0.0,0.0
2019-12-31,25.07,0.0,0.0
2019-06-30,22.0,0.0,0.0
2018-12-31,23.09,0.0,0.0
2018-06-30,30.14,0.0,0.0
2017-12-31,39.42,0.0,0.0
2017-06-30,23.31,0.0,0.0
