Centessa Pharmaceuticals PE Ratio Historical Data,Centessa Pharmaceuticals PE Ratio Historical Data,Centessa Pharmaceuticals PE Ratio Historical Data,Centessa Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.81,,0.0
2024-06-30,9.03,$-1.56,0.0
2024-03-31,11.3,$-1.42,0.0
2023-12-31,7.96,$-1.57,0.0
2023-09-30,6.47,$-1.64,0.0
2023-06-30,6.19,$-1.81,0.0
2023-03-31,3.85,$-2.24,0.0
2022-12-31,3.1,$-2.31,0.0
2022-09-30,4.02,$-2.54,0.0
2022-06-30,4.87,$-2.42,0.0
2022-03-31,8.97,$-2.38,0.0
