Owens & Minor PE Ratio Historical Data,Owens & Minor PE Ratio Historical Data,Owens & Minor PE Ratio Historical Data,Owens & Minor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.06,,0.0
2024-06-30,13.5,$-0.56,0.0
2024-03-31,27.71,$-0.51,0.0
2023-12-31,19.27,$-0.54,0.0
2023-09-30,16.16,$-1.54,0.0
2023-06-30,19.04,$-1.30,0.0
2023-03-31,14.55,$-0.56,0.0
2022-12-31,19.53,$0.28,69.75
2022-09-30,24.1,$1.60,15.06
2022-06-30,31.45,$2.31,13.61
2022-03-31,44.02,$2.92,15.08
2021-12-31,43.5,$3.12,13.94
2021-06-30,42.32,$3.33,12.71
2021-03-31,37.58,$1.55,24.25
2020-12-31,27.04,$0.38,71.17
2020-09-30,25.1,$0.24,104.59
2020-06-30,7.62,$-1.17,0.0
2020-03-31,9.14,$-0.24,0.0
2021-09-30,31.29,$-0.23,0.0
2019-12-31,5.16,$-1.04,0.0
2019-09-30,5.8,$-4.76,0.0
2019-06-30,3.19,$-4.79,0.0
2019-03-31,4.09,$-7.68,0.0
2018-12-31,6.31,$-7.32,0.0
2018-09-30,16.27,$-2.57,0.0
2018-06-30,16.2,$-2.38,0.0
2018-03-31,14.84,$1.03,14.41
2017-12-31,17.74,$1.35,13.14
2017-09-30,27.06,$1.45,18.66
2017-06-30,29.57,$1.72,17.19
2016-12-31,31.93,$1.77,18.04
2016-09-30,31.2,$1.83,17.05
2016-06-30,33.32,$1.66,20.07
2016-03-31,35.79,$1.66,21.56
2015-12-31,31.66,$1.66,19.07
2017-03-31,31.53,$1.45,21.74
2015-09-30,27.9,$1.36,20.52
2015-06-30,29.48,$1.02,28.91
2015-03-31,29.13,$0.95,30.66
2014-12-31,30.0,$1.06,28.3
2014-09-30,27.77,$1.28,21.69
2014-06-30,28.61,$1.61,17.77
2014-03-31,29.28,$1.75,16.73
2013-12-31,30.35,$1.75,17.34
2013-09-30,28.52,$1.70,16.78
2013-06-30,27.7,$1.65,16.79
2013-03-31,26.47,$1.67,15.85
2012-12-31,23.01,$1.72,13.38
2012-09-30,23.92,$1.71,13.99
2012-06-30,24.34,$1.85,13.15
2012-03-31,23.98,$1.83,13.1
2011-12-31,21.75,$1.82,11.95
2011-09-30,22.13,$1.78,12.44
2011-06-30,26.62,$1.75,15.21
2011-03-31,24.91,$1.75,14.24
2010-12-31,22.43,$1.74,12.89
2010-09-30,21.55,$1.91,11.27
2010-06-30,21.35,$1.97,10.86
2010-03-31,22.99,$1.89,12.19
2009-12-31,21.15,$1.67,12.64
