MRC Global PE Ratio Historical Data,MRC Global PE Ratio Historical Data,MRC Global PE Ratio Historical Data,MRC Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.66,,13.61
2024-06-30,12.91,$0.93,13.88
2024-03-31,12.57,$0.86,14.62
2023-12-31,11.01,$1.04,10.59
2023-09-30,10.25,$1.05,9.76
2023-06-30,10.07,$0.93,10.83
2023-03-31,9.72,$0.81,12.0
2022-12-31,11.58,$0.60,19.3
2022-09-30,7.19,$0.30,23.97
2022-06-30,9.96,$-0.12,0.0
2022-03-31,11.91,$-0.23,0.0
2021-12-31,6.88,$-0.46,0.0
2021-09-30,7.34,$-0.47,0.0
2021-06-30,9.4,$-0.30,0.0
2021-03-31,9.03,$-3.78,0.0
2020-12-31,6.63,$-4.04,0.0
2020-09-30,4.28,$-3.73,0.0
2020-06-30,5.91,$-3.48,0.0
2019-12-31,13.64,$0.16,85.25
2019-09-30,12.13,$0.57,21.28
2019-06-30,17.12,$0.43,39.81
2019-03-31,17.48,$0.42,41.62
2018-12-31,12.23,$0.45,27.18
2020-03-31,4.26,$0.54,7.89
2018-09-30,18.77,$0.80,23.46
2018-06-30,21.67,$0.57,38.02
2018-03-31,16.44,$0.15,109.6
2017-12-31,16.92,$-0.46,0.0
2017-09-30,17.49,$-1.00,0.0
2016-12-31,20.26,$-1.11,0.0
2016-09-30,16.43,$-4.78,0.0
2016-06-30,14.21,$-4.30,0.0
2016-03-31,13.14,$-3.96,0.0
2015-12-31,12.9,$-3.67,0.0
2017-06-30,16.52,$0.53,31.17
2015-09-30,11.15,$0.83,13.43
2015-06-30,15.44,$1.22,12.66
2015-03-31,11.85,$1.45,8.17
2014-12-31,15.15,$1.40,10.82
2014-09-30,23.32,$1.33,17.53
2014-06-30,28.29,$1.22,23.19
2014-03-31,26.96,$1.27,21.23
2013-12-31,32.26,$1.49,21.65
2013-09-30,26.8,$1.26,21.27
2013-06-30,27.62,$0.82,33.68
2013-03-31,32.93,$0.93,35.41
2017-03-31,18.33,$0.80,22.91
