AGCO PE Ratio Historical Data,AGCO PE Ratio Historical Data,AGCO PE Ratio Historical Data,AGCO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,100.87,,16.48
2024-06-30,97.56,$6.12,15.94
2024-03-31,119.6,$14.14,8.46
2023-12-31,117.73,$16.18,7.28
2023-06-30,126.83,$14.83,8.55
2023-03-31,124.8,$12.94,9.64
2022-12-31,127.79,$11.87,10.77
2022-09-30,88.44,$11.33,7.81
2022-06-30,90.58,$10.55,8.59
2022-03-31,128.91,$11.91,10.82
2021-12-31,102.26,$11.87,8.61
2021-09-30,107.83,$9.90,10.89
2021-06-30,114.57,$9.59,11.95
2021-03-31,122.86,$6.79,18.09
2020-12-31,88.05,$5.65,15.58
2020-09-30,63.33,$2.70,23.45
2020-06-30,47.18,$0.71,66.46
2020-03-31,40.06,$1.60,25.04
2019-12-31,65.34,$1.59,41.09
2019-09-30,63.9,$4.02,15.9
2019-06-30,65.48,$4.81,13.61
2019-03-31,58.58,$6.73,8.7
2018-12-31,46.78,$7.03,6.65
2018-09-30,50.94,$6.07,8.39
2023-09-30,114.41,$5.73,19.97
2018-06-30,50.76,$2.75,18.46
2018-03-31,54.08,$2.75,19.67
2017-12-31,59.44,$2.32,25.62
2017-09-30,61.26,$2.54,24.12
2017-06-30,55.85,$2.28,24.49
2017-03-31,49.76,$1.75,28.44
2016-12-31,47.74,$1.97,24.23
2016-09-30,40.59,$1.93,21.03
2016-06-30,38.69,$2.20,17.58
2016-03-31,40.69,$2.81,14.48
2015-12-31,37.06,$3.06,12.11
2015-09-30,37.97,$3.18,11.94
2015-06-30,46.14,$3.10,14.88
2015-03-31,38.62,$3.65,10.58
2014-12-31,36.55,$4.34,8.42
2014-09-30,36.67,$4.89,7.5
2014-06-30,45.25,$5.47,8.27
2014-03-31,44.31,$5.85,7.57
2013-12-31,47.44,$6.01,7.89
2013-09-30,48.35,$5.65,8.56
2013-06-30,40.09,$5.34,7.51
2013-03-31,41.56,$5.27,7.89
2012-12-31,39.09,$5.29,7.39
2012-09-30,37.79,$7.15,5.29
2012-06-30,36.4,$7.06,5.16
2012-03-31,37.57,$6.34,5.93
2011-12-31,34.2,$5.94,5.76
2011-09-30,27.51,$3.91,7.04
2011-06-30,39.29,$3.69,10.65
2011-03-31,43.75,$2.99,14.63
2010-12-31,40.32,$2.28,17.68
2010-09-30,31.05,$1.76,17.64
2010-06-30,21.47,$1.23,17.45
2010-03-31,28.55,$1.18,24.19
2009-12-31,25.74,$1.44,17.87
