NAPCO Security Technologies PE Ratio Historical Data,NAPCO Security Technologies PE Ratio Historical Data,NAPCO Security Technologies PE Ratio Historical Data,NAPCO Security Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.89,,31.26
2024-06-30,51.78,$1.34,38.64
2024-03-31,39.95,$1.26,31.7
2023-12-31,33.99,$1.19,28.56
2023-09-30,22.02,$1.08,20.39
2023-06-30,34.19,$0.97,35.25
2023-03-31,37.01,$0.89,41.59
2022-12-31,27.07,$0.68,39.8
2022-09-30,28.64,$0.48,59.67
2022-06-30,20.28,$0.52,39.0
2022-03-31,20.21,$0.46,44.42
2021-12-31,24.61,$0.50,49.73
2021-09-30,21.22,$0.55,38.57
2021-06-30,17.91,$0.41,44.23
2021-03-31,17.15,$0.22,77.97
2020-12-31,12.91,$0.20,64.56
2020-09-30,11.57,$0.21,55.11
2020-06-30,11.52,$0.23,50.08
2020-03-31,7.47,$0.41,18.22
2019-12-31,14.47,$0.40,36.64
2019-09-30,12.57,$0.38,33.51
2019-06-30,14.62,$0.33,44.29
2019-03-31,10.21,$0.30,34.05
2018-12-31,7.76,$0.27,29.27
2018-09-30,7.36,$0.23,32.72
2018-06-30,7.21,$0.21,34.36
2018-03-31,5.76,$0.20,29.55
2017-12-31,4.31,$0.17,25.35
2017-09-30,4.78,$0.16,29.86
2017-06-30,4.63,$0.15,30.86
2017-03-31,5.02,$0.16,32.41
2016-12-31,4.19,$0.16,26.16
2016-09-30,3.54,$0.16,22.13
2016-06-30,3.13,$0.16,20.21
2016-03-31,3.08,$0.16,19.86
2015-12-31,2.91,$0.14,21.52
2015-09-30,2.98,$0.14,22.07
2015-06-30,2.82,$0.13,21.71
2015-03-31,2.85,$0.10,28.51
2014-12-31,2.31,$0.11,22.04
2014-09-30,2.31,$0.09,25.72
2014-06-30,2.67,$0.09,29.71
2014-03-31,3.27,$0.12,28.39
2013-12-31,3.09,$0.11,29.46
2013-09-30,2.62,$0.10,26.15
2013-06-30,2.35,$0.14,16.81
2013-03-31,1.97,$0.07,30.31
2012-12-31,1.79,$0.07,25.61
2012-06-30,1.45,$0.06,24.13
2012-03-31,1.54,$0.05,30.83
2011-12-31,1.22,$0.03,40.71
2011-09-30,1.13,$0.04,28.2
2011-06-30,1.46,$0.05,29.25
2012-09-30,1.66,$-0.02,0.0
2011-03-31,1.12,$-0.06,0.0
2010-12-31,0.87,$-0.13,0.0
2010-09-30,0.96,$-0.16,0.0
2010-06-30,0.89,$-0.18,0.0
2010-03-31,1.13,$-0.37,0.0
2009-12-31,0.82,$-0.45,0.0
